app,timestamp,timezone,resolution,isReIntervention,interventionDuration,purpose,interventionType
xiaohongshu,1750651063.2214131,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750651123.2214131,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750651123.2214131,Asia/Shanghai,dismissedAppOpening,False,,,
xiaohongshu,1750651112.185441,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750651172.185441,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750651172.185441,Asia/Shanghai,dismissedAppOpening,False,,,
xiaohongshu,1750651426.257884,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750651486.257884,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750651486.257884,Asia/Shanghai,dismissedAppOpening,False,,,
xiaohongshu,1750651834.7048779,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750651894.7048779,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750651894.7048779,Asia/Shanghai,dismissedAppOpening,False,,,
xiaohongshu,1750662202.9716492,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750662262.9716492,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750662262.9716492,Asia/Shanghai,dismissedAppOpening,False,,,
xiaohongshu,1750662458.4905648,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750662518.4905648,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750662518.4905648,Asia/Shanghai,dismissedAppOpening,False,,,
xiaohongshu,1750669648.373536,Asia/Shanghai,openedApp,False,,,
xiaohongshu,1750669708.373536,Asia/Shanghai,closedApp,False,,,
xiaohongshu,1750669708.373536,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750684504.8030372,Asia/Shanghai,openedApp,False,,,
red,1750684564.8030372,Asia/Shanghai,closedApp,False,,,
red,1750684564.8030372,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750687045.740075,Asia/Shanghai,openedApp,False,,,
red,1750687105.740075,Asia/Shanghai,closedApp,False,,,
red,1750687105.740075,Asia/Shanghai,dismissedAppOpening,False,,,
tikTok,1750692432.291562,Asia/Shanghai,openedApp,False,,,
tikTok,1750692492.291563,Asia/Shanghai,closedApp,False,,,
tikTok,1750692492.291563,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750692457.348623,Asia/Shanghai,openedApp,False,,,
red,1750692517.348623,Asia/Shanghai,closedApp,False,,,
red,1750692517.348623,Asia/Shanghai,dismissedAppOpening,False,,,
tikTok,1750694406.918602,Asia/Shanghai,openedApp,False,,,
tikTok,1750694466.918603,Asia/Shanghai,closedApp,False,,,
tikTok,1750694466.918603,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750694410.8811321,Asia/Shanghai,openedApp,False,,,
red,1750694470.8811321,Asia/Shanghai,closedApp,False,,,
red,1750694470.8811321,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750724934.2592912,Asia/Shanghai,openedApp,False,,,
red,1750724994.2592912,Asia/Shanghai,closedApp,False,,,
red,1750724994.2592912,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750726052.301361,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750726069.8448992,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750725937.7919312,Asia/Shanghai,openedApp,False,,,
red,1750725997.7919312,Asia/Shanghai,closedApp,False,,,
red,1750725997.7919312,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750725996.409696,Asia/Shanghai,openedApp,False,,,
red,1750726056.409696,Asia/Shanghai,closedApp,False,,,
red,1750726056.409696,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750745329.87423,Asia/Shanghai,openedApp,False,,,
red,1750745389.87423,Asia/Shanghai,closedApp,False,,,
red,1750745389.87423,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750748408.1281161,Asia/Shanghai,openedApp,False,,,
red,1750748468.1281161,Asia/Shanghai,closedApp,False,,,
red,1750748468.1281161,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750751340.67293,Asia/Shanghai,openedApp,False,,,
red,1750751400.67293,Asia/Shanghai,closedApp,False,,,
red,1750751400.67293,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750751453.8417392,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750751376.430269,Asia/Shanghai,openedApp,False,,,
red,1750751436.430269,Asia/Shanghai,closedApp,False,,,
red,1750751436.430269,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750754613.923715,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750758220.450358,Asia/Shanghai,dismissedAppOpening,False,1.5,,breathingExercise
red,1750758232.72582,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750762082.02774,Asia/Shanghai,dismissedAppOpening,False,1.5,,breathingExercise
wechat,1750764294.787761,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750764527.68089,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750765013.155484,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
taobao,1750761947.449456,Asia/Shanghai,openedApp,False,,,
taobao,1750762007.449456,Asia/Shanghai,closedApp,False,,,
taobao,1750762007.449456,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750766403.218032,Asia/Shanghai,openedApp,False,,,
red,1750766463.218032,Asia/Shanghai,closedApp,False,,,
red,1750766463.218032,Asia/Shanghai,dismissedAppOpening,False,,,
tikTok,1750766565.2661,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750768593.0738869,Asia/Shanghai,openedApp,False,1.5,逃跑/避开,breathingExercise
wechat,1750770159.8882089,Asia/Shanghai,openedApp,False,,,
wechat,1750770219.8882089,Asia/Shanghai,closedApp,False,,,
wechat,1750770219.8882089,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750808052.962088,Asia/Shanghai,openedApp,False,,,
red,1750808112.962089,Asia/Shanghai,closedApp,False,,,
red,1750808112.962089,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750811762.6656098,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750815832.782995,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750818794.401547,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750818895.1597009,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750820474.720089,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750822765.544173,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750831362.796906,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750835161.701354,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750815650.116572,Asia/Shanghai,openedApp,False,,,
wechat,1750815710.116572,Asia/Shanghai,closedApp,False,,,
wechat,1750815710.116572,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750819210.674728,Asia/Shanghai,openedApp,False,,,
red,1750819270.674728,Asia/Shanghai,closedApp,False,,,
red,1750819270.674728,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750831205.294719,Asia/Shanghai,openedApp,False,,,
red,1750831265.294719,Asia/Shanghai,closedApp,False,,,
red,1750831265.294719,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750831206.25321,Asia/Shanghai,openedApp,False,,,
red,1750831266.25321,Asia/Shanghai,closedApp,False,,,
red,1750831266.25321,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750831207.379201,Asia/Shanghai,openedApp,False,,,
red,1750831267.379201,Asia/Shanghai,closedApp,False,,,
red,1750831267.379201,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750835044.5102282,Asia/Shanghai,openedApp,False,,,
red,1750835104.5102282,Asia/Shanghai,closedApp,False,,,
red,1750835104.5102282,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750835061.093628,Asia/Shanghai,openedApp,False,,,
red,1750835121.093628,Asia/Shanghai,closedApp,False,,,
red,1750835121.093628,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750838009.425247,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750848088.634035,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750848171.806964,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750848829.1662111,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750849435.916863,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750849917.705766,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750851712.951277,Asia/Shanghai,openedApp,False,1.5,失眠,breathingExercise
wechat,1750853292.553965,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750853484.197133,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750855824.86307,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750856055.020474,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750856623.871437,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750849204.806336,Asia/Shanghai,openedApp,False,,,
wechat,1750849264.8063369,Asia/Shanghai,closedApp,False,,,
wechat,1750849264.8063369,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750849210.373029,Asia/Shanghai,openedApp,False,,,
wechat,1750849270.373029,Asia/Shanghai,closedApp,False,,,
wechat,1750849270.373029,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750851535.716988,Asia/Shanghai,openedApp,False,,,
wechat,1750851595.716988,Asia/Shanghai,closedApp,False,,,
wechat,1750851595.716988,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750855304.032967,Asia/Shanghai,openedApp,False,,,
wechat,1750855364.032967,Asia/Shanghai,closedApp,False,,,
wechat,1750855364.032968,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750856401.8741632,Asia/Shanghai,openedApp,False,,,
red,1750856461.8741632,Asia/Shanghai,closedApp,False,,,
red,1750856461.8741632,Asia/Shanghai,dismissedAppOpening,False,,,
tikTok,1750857171.104789,Asia/Shanghai,openedApp,False,,,
tikTok,1750857231.104789,Asia/Shanghai,closedApp,False,,,
tikTok,1750857231.104789,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750857468.022358,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750858423.574481,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
taobao,1750859246.8062,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750861193.3570452,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750864458.9345489,Asia/Shanghai,dismissedAppOpening,False,1.5,,breathingExercise
red,1750860329.854336,Asia/Shanghai,openedApp,False,,,
red,1750860389.854337,Asia/Shanghai,closedApp,False,,,
red,1750860389.854337,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750861432.8019,Asia/Shanghai,openedApp,False,,,
red,1750861492.8019,Asia/Shanghai,closedApp,False,,,
red,1750861492.8019,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750863604.967412,Asia/Shanghai,openedApp,False,,,
wechat,1750863664.967413,Asia/Shanghai,closedApp,False,,,
wechat,1750863664.967413,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750864471.775132,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750864684.443193,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750865915.633803,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750867089.5279222,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750867277.926302,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750867527.2438679,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750869174.487763,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750869356.8748689,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750870667.559581,Asia/Shanghai,openedApp,False,,,
wechat,1750870727.559581,Asia/Shanghai,closedApp,False,,,
wechat,1750870727.559581,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750871545.1531038,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750893617.932704,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750894023.283502,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750894391.5046911,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750896614.1091862,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750898753.92121,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750898804.4674,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750899683.754713,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750900706.789647,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750901998.9313111,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750908348.485893,Asia/Shanghai,dismissedAppOpening,False,1.5,,breathingExercise
wechat,1750913163.397625,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750913234.1642609,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750913265.91157,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750914077.8843,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750914111.228953,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750917850.799333,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750920565.772129,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750921101.243314,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750921287.5546188,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750924325.281806,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750928132.527267,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750928684.59621,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750930729.5408459,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
red,1750932978.411355,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750934206.1195068,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750936474.121989,Asia/Shanghai,openedApp,False,1.5,逃跑/避开,breathingExercise
red,1750936587.279859,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750936784.628742,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
wechat,1750941463.876019,Asia/Shanghai,dismissedAppOpening,False,1.5,,breathingExercise
wechat,1750870801.837187,Asia/Shanghai,openedApp,False,,,
wechat,1750870861.837187,Asia/Shanghai,closedApp,False,,,
wechat,1750870861.837187,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750870974.535886,Asia/Shanghai,openedApp,False,,,
red,1750871034.535886,Asia/Shanghai,closedApp,False,,,
red,1750871034.535886,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750893689.206685,Asia/Shanghai,openedApp,False,,,
red,1750893749.206685,Asia/Shanghai,closedApp,False,,,
red,1750893749.206685,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750899606.980495,Asia/Shanghai,openedApp,False,,,
red,1750899666.980495,Asia/Shanghai,closedApp,False,,,
red,1750899666.980495,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750908075.203676,Asia/Shanghai,openedApp,False,,,
wechat,1750908135.203676,Asia/Shanghai,closedApp,False,,,
wechat,1750908135.203676,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750908142.96029,Asia/Shanghai,openedApp,False,,,
red,1750908202.96029,Asia/Shanghai,closedApp,False,,,
red,1750908202.96029,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750917779.196809,Asia/Shanghai,openedApp,False,,,
wechat,1750917839.196809,Asia/Shanghai,closedApp,False,,,
wechat,1750917839.19681,Asia/Shanghai,dismissedAppOpening,False,,,
red,1750917836.598153,Asia/Shanghai,openedApp,False,,,
red,1750917896.598153,Asia/Shanghai,closedApp,False,,,
red,1750917896.598154,Asia/Shanghai,dismissedAppOpening,False,,,
tikTok,1750921206.320829,Asia/Shanghai,openedApp,False,,,
tikTok,1750921266.320829,Asia/Shanghai,closedApp,False,,,
tikTok,1750921266.320829,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750921210.551272,Asia/Shanghai,openedApp,False,,,
wechat,1750921270.551272,Asia/Shanghai,closedApp,False,,,
wechat,1750921270.551272,Asia/Shanghai,dismissedAppOpening,False,,,
wechat,1750941475.807406,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
tikTok,1750941823.472642,Asia/Shanghai,openedApp,False,1.5,搜索信息,breathingExercise
