interventionDuration,resolution,isReIntervention,interventionType,timestamp,timezone,app
1.5,dismissedAppOpening,False,breathingExercise,1749933672.71492,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1749959123.076632,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1749963500.098596,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1749966588.325877,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1749972485.895519,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1749972927.539033,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1749976052.830096,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1749978933.164768,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1749979977.790516,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1749985646.675251,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750046285.948244,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750058233.8111172,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750064342.843355,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750083148.684973,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750085531.018755,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750146277.751796,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750149838.16719,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750157828.421191,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750157893.586981,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750161218.716958,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750165449.639439,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750170742.823151,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750233349.678128,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750235400.0289211,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750238339.9959068,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750244183.330483,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750254144.328148,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750276617.025418,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750276677.872366,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750277175.445864,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750307374.393444,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750326867.519814,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750331800.910805,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750337782.005351,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750345059.789905,Europe/Brussels,instagram
1.5,dismissedAppOpening,False,breathingExercise,1750353338.997679,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750353378.0879822,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750396473.477771,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750399728.001144,Europe/Brussels,instagram
1.5,openedApp,False,breathingExercise,1750400554.7585778,Europe/Brussels,instagram
