app,interventionType,timezone,timestamp,resolution,isReIntervention,interventionDuration
mail,breathingExercise,Europe/London,1753116132.853349,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753119294.615285,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753119462.646006,openedApp,False,1.5
safari,,Europe/London,1753119659.259519,closedApp,False,
mail,breathingExercise,Europe/London,1753123526.864859,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753124560.008473,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753129292.7976909,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753129688.9306831,openedApp,False,1.5
mail,,Europe/London,1753129723.143748,closedApp,False,
safari,breathingExercise,Europe/London,1753129727.917759,openedApp,False,1.5
safari,,Europe/London,1753129769.503127,closedApp,False,
safari,,Europe/London,1753129822.14474,closedApp,False,
mail,breathingExercise,Europe/London,1753132266.21258,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753132327.019309,openedApp,False,1.5
safari,,Europe/London,1753132521.696315,closedApp,False,
gmail,breathingExercise,Europe/London,1753133832.9569879,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753134675.093153,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753134688.508935,openedApp,False,1.5
safari,breathingExercise,Europe/London,1753160845.6123152,openedApp,False,1.5
safari,,Europe/London,1753160897.224746,closedApp,False,
mail,breathingExercise,Europe/London,1753160902.8955731,openedApp,False,1.5
mail,,Europe/London,1753161014.4334068,closedApp,False,
safari,,Europe/London,1753160997.094595,closedApp,False,
safari,,Europe/London,1753161314.878763,closedApp,False,
gmail,breathingExercise,Europe/London,1753161325.731782,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753162473.698024,openedApp,False,1.5
mail,,Europe/London,1753162494.6636472,closedApp,False,
safari,breathingExercise,Europe/London,1753162500.087051,openedApp,False,1.5
mail,,Europe/London,1753162743.017208,closedApp,False,
safari,,Europe/London,1753162717.2934,closedApp,False,
safari,,Europe/London,1753163052.672905,closedApp,False,
gmail,breathingExercise,Europe/London,1753163083.679888,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753163349.79456,dismissedAppOpening,False,1.5
safari,,Europe/London,1753163417.173192,closedApp,False,
mail,breathingExercise,Europe/London,1753163423.796781,openedApp,False,1.5
mail,,Europe/London,1753163447.0626988,closedApp,False,
mail,,Europe/London,1753163506.534394,closedApp,False,
safari,,Europe/London,1753163493.527494,closedApp,False,
gmail,breathingExercise,Europe/London,1753163680.722084,openedApp,False,1.5
safari,breathingExercise,Europe/London,1753165185.940232,openedApp,False,1.5
safari,,Europe/London,1753165216.657433,closedApp,False,
safari,,Europe/London,1753165310.862715,closedApp,False,
mail,breathingExercise,Europe/London,1753165456.791387,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753168245.248368,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753168494.918983,dismissedAppOpening,False,1.5
mail,breathingExercise,Europe/London,1753171607.026236,openedApp,False,1.5
mail,,Europe/London,1753171628.047581,closedApp,False,
safari,breathingExercise,Europe/London,1753171853.2577171,openedApp,False,1.5
safari,,Europe/London,1753171902.701724,closedApp,False,
mail,breathingExercise,Europe/London,1753178757.50183,openedApp,False,1.5
gmail,breathingExercise,Europe/London,1753178769.57094,openedApp,False,1.5
mail,,Europe/London,1753178791.5834289,closedApp,False,
mail,breathingExercise,Europe/London,1753180454.391038,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753180467.676728,openedApp,False,1.5
safari,,Europe/London,1753180568.8098478,closedApp,False,
safari,,Europe/London,1753180624.533869,closedApp,False,
safari,,Europe/London,1753180660.5810208,closedApp,False,
gmail,breathingExercise,Europe/London,1753185044.3751612,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753185046.864543,dismissedAppOpening,False,1.5
gmail,breathingExercise,Europe/London,1753185053.527669,openedApp,False,1.5
mail,breathingExercise,Europe/London,1753185070.64238,openedApp,False,1.5
safari,breathingExercise,Europe/London,1753185085.066376,openedApp,False,1.5
safari,,Europe/London,1753185099.433062,closedApp,False,
safari,,Europe/London,1753185315.019044,closedApp,False,
safari,breathingExercise,Europe/London,1753190421.6716099,openedApp,False,1.5
safari,,Europe/London,1753190451.114727,closedApp,False,
mail,breathingExercise,Europe/London,1753190474.935735,openedApp,False,1.5
mail,,Europe/London,1753190506.460398,closedApp,False,
safari,,Europe/London,1753190607.7514482,closedApp,False,
gmail,breathingExercise,Europe/London,1753190619.472265,dismissedAppOpening,False,1.5
facebook,breathingExercise,Europe/London,1753190635.814861,openedApp,False,1.5
mail,,Europe/London,1753190959.547089,closedApp,False,
instagram,breathingExercise,Europe/London,1753194045.896278,openedApp,False,1.5
instagram,,Europe/London,1753194514.248086,closedApp,False,
instagram,,Europe/London,1753194867.499086,closedApp,False,
instagram,,Europe/London,1753195240.259583,closedApp,False,
safari,breathingExercise,Europe/London,1753195245.486547,openedApp,False,1.5
instagram,,Europe/London,1753195422.9505758,closedApp,False,
instagram,,Europe/London,1753195457.05776,closedApp,False,
instagram,,Europe/London,1753195642.402137,closedApp,False,
instagram,,Europe/London,1753196208.5756788,closedApp,False,
instagram,,Europe/London,1753196265.696553,closedApp,False,
safari,,Europe/London,1753195273.4209108,closedApp,False,
safari,,Europe/London,1753195304.837189,closedApp,False,
safari,,Europe/London,1753195438.2682738,closedApp,False,
mail,breathingExercise,Europe/London,1753196269.97247,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753196274.195869,dismissedAppOpening,False,1.5
safari,breathingExercise,Europe/London,1753196281.8851109,openedApp,False,1.5
instagram,,Europe/London,1753196308.280083,closedApp,False,
instagram,,Europe/London,1753196353.64155,closedApp,False,
mail,breathingExercise,Europe/London,1753196358.4080272,openedApp,False,1.5
mail,,Europe/London,1753197131.238323,closedApp,False,
instagram,breathingExercise,Europe/London,1753197878.034106,openedApp,False,1.5
