isReIntervention,interventionDuration,resolution,interventionType,timestamp,timezone,app
False,1.5,openedApp,breathingExercise,1749563391.191845,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749564398.893507,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749564482.781961,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749564535.275724,US/Eastern,tinder
False,1.5,dismissedAppOpening,breathingExercise,1749564540.876694,US/Eastern,tinder
False,1.5,dismissedAppOpening,breathingExercise,1749564590.7748508,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749564854.161588,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749565068.462798,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749565661.273304,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749565701.231255,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749565733.55446,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749566062.389456,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749566189.779189,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749566639.944471,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749566656.844397,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749566712.314347,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749567308.289176,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749568239.714263,US/Eastern,tikTok
False,1.5,dismissedAppOpening,breathingExercise,1749571478.987615,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749571495.102915,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749571538.636863,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749571551.0061789,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749571554.824863,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749571554.829688,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749572901.123396,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749573205.805409,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749574431.859192,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749574459.9273171,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749574564.588326,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749574874.276472,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749574925.8342829,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749574941.7815452,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749575015.8252702,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749594199.443172,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749594302.931864,US/Eastern,tikTok
False,1.5,dismissedAppOpening,breathingExercise,1749595503.3534389,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749596619.667687,US/Eastern,bumble
False,1.5,openedApp,breathingExercise,1749596683.6883821,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749596871.239328,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749596873.222739,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749599769.788574,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749602440.247843,US/Eastern,bumble
False,1.5,openedApp,breathingExercise,1749602441.762016,US/Eastern,bumble
False,1.5,dismissedAppOpening,breathingExercise,1749607632.134274,US/Eastern,tikTok
False,1.5,openedApp,breathingExercise,1749607820.9189448,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749607822.318392,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749607823.3852382,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749608297.501429,US/Eastern,hinge
False,1.5,openedApp,breathingExercise,1749608554.081511,US/Eastern,tinder
False,1.5,dismissedAppOpening,breathingExercise,1749608839.2570581,US/Eastern,tinder
False,1.5,openedApp,breathingExercise,1749614446.558661,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749614661.9028702,US/Eastern,instagram
False,1.5,openedApp,breathingExercise,1749614672.982614,US/Eastern,instagram
False,1.5,dismissedAppOpening,breathingExercise,1749614786.281231,US/Eastern,tinder
