timezone,isReIntervention,purpose,app,interventionType,interventionDuration,timestamp,resolution
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749662227.910345,openedApp
Asia/Kolkata,False,Post something,twitter,breathingExercise,1.5,1749706827.442998,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1749726008.047667,openedApp
Asia/Kolkata,False,,whastapp,,,1749728195.350142,openedApp
Asia/Kolkata,False,,whastapp,,,1749728795.350142,closedApp
Asia/Kolkata,False,,whastapp,,,1749728795.350142,dismissedAppOpening
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749738096.695298,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749738535.269287,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749739217.1854172,openedApp
Asia/Kolkata,False,,whastapp,,,1749741399.769449,openedApp
Asia/Kolkata,False,,whastapp,,,1749741999.76945,closedApp
Asia/Kolkata,False,,whastapp,,,1749741999.76945,dismissedAppOpening
Asia/Kolkata,False,,twitter,,,1749748782.9594932,openedApp
Asia/Kolkata,False,,twitter,,,1749749382.9594932,closedApp
Asia/Kolkata,False,,twitter,,,1749749382.9594932,dismissedAppOpening
Asia/Kolkata,False,Search Info,twitter,breathingExercise,1.5,1749773758.0111861,openedApp
Asia/Kolkata,False,,twitter,,,1749774610.168061,openedApp
Asia/Kolkata,False,,twitter,,,1749775210.168061,closedApp
Asia/Kolkata,False,,twitter,,,1749775210.168061,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749813525.560682,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749828213.328188,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749854525.397809,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749859630.322483,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749860522.3215609,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749861848.889523,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749863574.123076,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749865923.371916,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749867020.576563,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749867990.7372231,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749886961.8721972,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,1.5,1749904812.919389,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749904828.163159,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749918030.712751,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749926417.016243,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1749950495.864845,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749957606.7849221,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,1.5,1749984529.192842,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1749984542.941354,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750007499.279717,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,1.5,1750050936.4646912,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750050953.071553,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750058799.316284,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750077806.823468,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750123785.143025,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750124830.395204,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750143377.726883,openedApp
