interventionDuration,app,isReIntervention,resolution,interventionType,timestamp,timezone,timeIntervalUntilReIntervention
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751112194.2519379,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751112222.823646,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751112235.81478,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751120389.0886989,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751120546.1558828,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751121471.952419,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751121822.7255049,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751121828.586601,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751122288.710689,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751122768.528953,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751132011.743353,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751134281.3348808,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751139232.2943869,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751140227.017798,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751144488.605208,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751147193.998524,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751180829.366673,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751194367.269861,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751220338.310299,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751310272.530911,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751313841.7816749,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751315781.079382,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751316129.499086,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751318264.9611778,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751318450.756472,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751318809.567478,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751319983.645302,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751367150.908176,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751369177.203172,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751373574.5545049,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751373664.796212,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751374741.862534,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751391874.307613,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751399012.157639,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751399193.286759,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751399444.48366,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751400588.74397,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751400757.487822,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751402737.817898,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751403448.0537071,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751403759.870864,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751404988.29403,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751408212.575773,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751440825.351235,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751442285.380471,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751446089.935324,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751446152.024776,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751447207.040876,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751447295.556771,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751447461.931921,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751448205.759522,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751461904.760984,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751464226.913146,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751495749.826808,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751495791.979089,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751498355.429807,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751515725.7381911,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751515930.471307,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751516160.073862,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751516246.773944,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751516325.586186,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751516965.296195,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751517342.584141,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751517348.404015,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751523866.263299,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751524866.9543982,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751530794.767734,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751546313.544156,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751617557.555791,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751617829.7527099,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751645511.968807,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751646254.101551,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751646991.685215,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751705474.3140712,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751752809.546145,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751812896.3470368,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751813377.9069638,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751813855.3440309,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751814274.139164,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751832550.4812431,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751833006.9520268,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751833050.6370258,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751833218.841974,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751834686.0316582,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751834992.599956,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751835094.159778,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751835722.55155,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751836023.676269,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751836171.9420009,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751838491.589386,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751885966.706756,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751890102.359143,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751890882.465438,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751891007.9448152,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1751891306.897591,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751918838.786248,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751921134.546418,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751921574.997505,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751953956.99687,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751954327.678862,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1751972171.408749,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1752042588.0015001,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752042594.7472758,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752043787.268832,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752045379.542932,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752048966.950805,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752049050.331008,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752049097.0420651,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752096677.8457441,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752163330.62462,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752214959.240545,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752214975.4359112,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752216801.654604,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752228699.533918,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752229635.607548,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752229726.6183472,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752230774.954365,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752231475.240271,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1752234038.017595,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752234147.297101,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1752247032.7657971,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752267294.855262,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1752267566.670724,Europe/Berlin,
1.5,instagram,False,dismissedAppOpening,breathingExercise,1752267725.2799091,Europe/Berlin,
1.5,instagram,False,openedApp,breathingExercise,1752267758.2985501,Europe/Berlin,
