interventionType,timezone,interventionDuration,app,timestamp,isReIntervention,resolution,purpose,timeIntervalUntilReIntervention,terminationReason
breathingExercise,Asia/Shanghai,1.5,instagram,1753267557.112427,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753327907.586238,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753327917.742869,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753329333.08049,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753330233.572552,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753330241.485239,0.0,openedApp,Stay In the Loop,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753330290.550895,0.0,openedApp,Bored,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753330374.367173,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753330637.033772,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753335095.061223,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753337959.393978,0.0,openedApp,Stay In the Loop,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753338103.936273,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753338115.441132,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753338188.597515,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,youtube,1753345725.347642,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753345731.248901,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753346407.6432462,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753346701.6629782,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753346717.494285,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753347595.629817,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753347635.294886,0.0,openedApp,Escape / Avoid,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753369104.068756,0.0,openedApp,Porn,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753369158.596952,0.0,openedApp,Entertainment,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753369547.801477,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753369787.132245,0.0,openedApp,Relax,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753370437.9982,0.0,openedApp,Bored,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753372450.0971231,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753372468.205003,0.0,openedApp,Entertainment,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753375654.5523229,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753409079.764398,0.0,openedApp,Can’t sleep,,
breathingExercise,Asia/Shanghai,1.5,instagram,1753409730.582068,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753409886.63545,0.0,openedApp,Can’t sleep,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753410988.65457,0.0,openedApp,Message,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753416156.609178,0.0,dismissedAppOpening,,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753416690.15972,0.0,openedApp,Stay In the Loop,,
breathingExercise,Asia/Shanghai,1.5,chrome,1753417125.98635,0.0,openedApp,Escape / Avoid,,
