timezone,timestamp,interventionType,app,resolution,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
America/Mexico_City,1750785386.503772,breathingExercise,instagram,openedApp,1.5,False,,
America/Mexico_City,1750785681.754411,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795033.982901,breathingExercise,instagram,openedApp,1.5,False,,
America/Mexico_City,1750795422.12396,breathingExercise,instagram,openedApp,1.5,False,,
America/Mexico_City,1750795567.057736,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795614.314153,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795615.89178,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795650.5795,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795657.895885,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795763.943331,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750795767.005728,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750796324.290251,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750811894.649382,breathingExercise,instagram,openedApp,1.5,False,,
America/Mexico_City,1750812640.013126,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750812657.926804,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750812660.374072,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750812887.2382731,askForTimeLimit,instagram,openedApp,1.5,False,60.0,
America/Mexico_City,1750813751.0772228,askForTimeLimit,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750815509.715316,askForTimeLimit,instagram,openedApp,1.5,False,60.0,
America/Mexico_City,1750815584.374196,breathingExercise,instagram,openedApp,1.5,True,60.0,
America/Mexico_City,1750815653.827911,breathingExercise,instagram,openedApp,1.5,True,60.0,
America/Mexico_City,1750815717.215633,breathingExercise,instagram,openedApp,1.5,True,60.0,
America/Mexico_City,1750816129.2749481,askForTimeLimit,instagram,openedApp,1.5,False,60.0,
America/Mexico_City,1750816201.310221,breathingExercise,instagram,openedApp,1.5,True,60.0,
America/Mexico_City,1750816317.5428529,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750816354.698941,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750816374.875391,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750816451.756637,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750816523.777255,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750816526.232617,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Mexico_City,1750816537.796136,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750855962.605661,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750855977.905591,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750855986.078411,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750855999.96245,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750856003.760508,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750856014.099787,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750856679.7495918,breathingExercise,instagram,openedApp,1.5,False,,Post something
America/Panama,1750858962.508101,breathingExercise,instagram,openedApp,1.5,False,,Stay In the Loop
America/Panama,1750859138.258229,breathingExercise,instagram,openedApp,1.5,False,,Stay In the Loop
America/Panama,1750859399.33786,breathingExercise,instagram,openedApp,1.5,False,,Stay In the Loop
America/Panama,1750860961.999236,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750861179.353334,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750861236.628601,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750861240.6260672,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750861575.552106,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750861704.076334,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750861784.867929,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750862715.1668792,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750862838.679957,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750862935.21893,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750863139.071928,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Panama,1750864831.959879,breathingExercise,instagram,openedApp,1.5,False,,Stay In the Loop
America/Panama,1750864982.3824139,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Sao_Paulo,1750911825.4831328,breathingExercise,instagram,openedApp,1.5,False,60.0,Message
