resolution,isReIntervention,app,interventionType,interventionDuration,timezone,timestamp
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750755538.823168
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750755542.4038491
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750758925.4864678
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750759790.821034
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750771608.166878
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750771854.158204
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750772231.012766
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750774141.909204
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750774154.510088
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750777744.202228
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750782375.203885
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750782465.171828
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750782675.14017
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750783309.1058822
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750789461.374922
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750789821.822373
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750790159.838423
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750791454.3826199
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750793098.8541
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750793289.7882252
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750794485.157033
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750799158.311665
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750799664.3268142
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750799719.637404
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750799725.4880018
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750800202.0370588
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750801340.403302
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750804834.603234
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750830061.429861
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750830213.3171139
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750837847.286227
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750838256.009934
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750840574.290515
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750841349.851049
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750857436.2669082
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750866040.930179
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750876056.7133288
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750876606.773201
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750877039.2250772
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750881580.883563
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750886144.719487
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750886623.252949
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750889379.35516
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750890055.3706
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750890164.259097
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750890516.8857532
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750890679.893227
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750891129.544255
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750893757.1629071
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750908710.35201
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750921222.718492
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750921380.9902182
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750926475.531759
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750927451.0226989
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750932988.794112
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750933744.012985
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750943087.986476
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750943235.930821
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750946423.1176782
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750954362.361702
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750957333.653603
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750959207.46308
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750961236.367209
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750964161.914571
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750967118.378302
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750971071.908266
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750971967.273159
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750972407.474375
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1750973051.521374
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750973658.888068
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750974446.673399
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750974541.869824
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750981434.401029
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750986432.6437268
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750987121.01769
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750987193.9612942
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750987665.229044
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750990307.881442
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1750990616.076302
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751013580.2769852
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751014261.320169
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751015827.794353
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751021041.569947
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751021585.043088
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751022202.295731
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751022685.0231109
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751023037.5001822
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751023975.516244
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751023980.091127
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751028440.6072412
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751029163.005153
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751031400.4106832
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751031541.520735
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751031544.6695561
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751031630.716996
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751031743.6272979
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751033101.213636
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751039751.656884
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751043743.14744
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751046962.962205
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751047155.580868
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751047777.852874
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751053266.8930578
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751053276.5364242
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751053393.396363
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751053448.693931
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751053488.574957
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751057148.2260141
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751058528.760079
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751059553.187187
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751060083.274215
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751060089.2192888
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751060278.59109
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751060361.1664371
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751061100.979373
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751061384.406896
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751061530.7800999
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751061647.4466949
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751061658.170089
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751063797.518825
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751064375.589102
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751064742.842504
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751066200.8059359
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751066366.6130981
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751066685.196264
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751066886.752262
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751066933.414071
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751067209.306917
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751067237.3043551
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751067272.93525
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751067518.0212898
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751067601.346998
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751068782.367405
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751068848.4399672
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751068855.380719
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751068970.939748
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751095943.0382528
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751096026.7987351
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751096042.513482
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751096832.328388
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751099071.512641
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751100964.2032142
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751101608.327215
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751101996.1076698
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751103715.432493
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751105905.3709002
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751117442.8927479
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751118067.005449
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751119878.541667
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751120027.4975572
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751120446.2976232
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751122255.057858
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751122760.846911
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751125992.606402
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751153534.072253
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751154718.1741939
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751155807.5350661
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751159954.9343538
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751186221.5722551
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751188022.477555
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751190346.017723
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751192394.499618
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751192471.85635
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751193234.175139
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751196612.556392
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751202902.674631
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751207782.727972
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751207935.8302178
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751208474.191606
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751208481.481015
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751209338.540769
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751209418.417953
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751214226.95967
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751218205.562059
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751228861.1408548
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751229802.0929952
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751231339.0648642
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751234075.334466
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751234608.0941281
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751235268.8560681
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751236976.723608
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751240418.680701
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751269529.8031878
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751270303.443991
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751270616.609726
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751272208.451529
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751274025.869858
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751274347.0026631
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751274608.1493778
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751275609.05042
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751278345.7622662
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751281849.0215921
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751285511.7591372
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751285604.415462
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751288683.514557
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751289016.1071649
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751289579.526719
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751290176.046411
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751291130.2087
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751291782.9455252
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751291874.255306
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751292220.14696
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751292514.568677
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751292628.2941961
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751293306.5387778
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751293660.0565681
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751293934.757618
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751294367.289762
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751294370.2101378
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751296512.7494411
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751296893.8698978
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751298958.109315
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751299063.9356399
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751299776.488617
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751299935.467507
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751300019.195868
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751300823.437763
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751305935.752428
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751306158.306165
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751306958.1624432
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751309860.9698238
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751310096.314207
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751310205.3790488
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751310318.5861769
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751310370.027755
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751311904.621667
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751314203.587801
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751314902.918549
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751314908.62351
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751316910.375443
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751318896.824288
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751318906.3097348
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751319269.4115129
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751322813.065948
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751326697.1620998
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751333779.239777
dismissedAppOpening,False,instagram,breathingExercise,1.5,Europe/Madrid,1751335737.3766499
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751335744.1226149
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751359495.97616
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751359629.6993
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751362128.858292
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751363488.7501822
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751364836.830255
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751364995.5874019
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751365084.8293161
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751365195.655366
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751365393.344002
openedApp,False,instagram,breathingExercise,1.5,Europe/Madrid,1751366674.7261229
