interventionDuration,interventionType,isReIntervention,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
1.5,breathingExercise,False,openedApp,1749472196.059391,instagram,Europe/Lisbon,
,,False,closedApp,1749472235.239098,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749477547.7817879,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749487268.351367,instagram,Europe/Lisbon,
,,False,closedApp,1749477649.0665832,instagram,Europe/Lisbon,
,,False,closedApp,1749487355.535757,instagram,Europe/Lisbon,
,,False,closedApp,1749487377.754549,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749491252.913573,instagram,Europe/Lisbon,
,,False,closedApp,1749491485.732626,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749500640.47713,instagram,Europe/Lisbon,
,,False,closedApp,1749500671.183327,instagram,Europe/Lisbon,
,,False,closedApp,1749500680.425583,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749501164.326435,instagram,Europe/Lisbon,
,,False,closedApp,1749501240.302891,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749502817.001765,instagram,Europe/Lisbon,
,,False,closedApp,1749502948.629065,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749505169.391302,instagram,Europe/Lisbon,
,,False,closedApp,1749505286.6638699,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749506342.0557709,instagram,Europe/Lisbon,
,,False,closedApp,1749506382.853286,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749506406.3507972,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749509564.816022,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749539338.8461351,instagram,Europe/Lisbon,
,,False,closedApp,1749539514.764295,instagram,Europe/Lisbon,
,,False,closedApp,1749540293.2927032,instagram,Europe/Lisbon,
,,False,closedApp,1749540888.114089,instagram,Europe/Lisbon,
,,False,closedApp,1749540890.15118,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749540896.656594,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749543132.9160662,instagram,Europe/Lisbon,
,,False,closedApp,1749543161.501862,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749543319.841619,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749550486.290206,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749550552.539443,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749554712.256953,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749554770.2775521,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749556079.8627481,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749556137.02494,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749556880.661851,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749559366.6358628,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749560998.6159391,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749561034.637393,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749561223.5292048,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749561747.816804,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749565308.711798,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749567461.072398,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749567528.7544909,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749570860.3613791,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749570924.2863421,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749572794.165787,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749572802.598209,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749572897.4937248,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749574008.4414968,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749574035.005012,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749574069.0025148,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749583255.242842,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749583664.558051,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749585413.816356,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749585467.057528,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749585484.291498,instagram,Europe/Lisbon,60.0
1.5,breathingExercise,False,dismissedAppOpening,1749585567.725429,instagram,Europe/Lisbon,
,,False,closedApp,1749585511.9542089,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749588983.477305,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749589015.223146,instagram,Europe/Lisbon,
,,False,closedApp,1749589111.3108559,instagram,Europe/Lisbon,
,,False,closedApp,1749589143.517998,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749589274.726571,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749593717.775379,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749593844.843854,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749593852.922279,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749593862.196729,instagram,Europe/Lisbon,120.0
