timezone,interventionDuration,app,timestamp,interventionType,resolution,isReIntervention
America/Toronto,1.5,instagram,1750668558.225915,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750712593.674759,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750712871.965331,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750712976.118902,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750714126.640105,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750722277.194597,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750725601.487628,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750725748.246906,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750726236.680554,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750727674.0222259,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750727682.658918,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750728028.525212,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750730989.036794,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750741288.514145,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750741353.692353,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750742124.5373921,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750745667.7614388,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750745836.0236049,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750746285.770578,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750746292.6230721,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750752152.937777,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750753395.1063771,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750753812.206214,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750753874.7638788,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750754298.317278,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750755620.699722,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750756218.098933,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750758167.635782,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750765235.327025,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750765503.721894,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750774043.585176,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750774494.8028169,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750797038.355565,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750799938.680101,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750799979.636054,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750800021.04409,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750800031.963019,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750801020.957663,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750801263.325836,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750801562.498743,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750801754.568593,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750802235.313222,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750802455.029828,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750802553.206091,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750802563.858008,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750802754.4892569,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750804675.545484,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750805293.01931,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750805538.763607,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750805582.911199,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750805600.0003362,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750805897.465513,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750806223.3604941,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750806228.491668,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750806233.064925,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750813268.9779701,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750816471.36743,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750816522.803913,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750816911.815919,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750818205.118475,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750821408.8367991,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750821934.951725,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750830942.698214,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750831877.874195,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750831907.693964,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750832224.527574,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750832448.3494248,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750832523.571744,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750832608.394459,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750832755.013277,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750832843.4014611,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750833386.401267,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750833487.83679,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750833832.2456,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750838436.322895,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750889266.3404698,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750889545.760958,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750889975.24581,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750890241.353204,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750890246.548074,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750890471.922199,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750890479.55007,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750890703.613241,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750890772.6918159,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891191.539507,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891349.98903,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891567.419547,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891655.032891,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891872.121955,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750892036.3295321,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750892642.131246,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750893088.294783,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750893504.987874,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750894815.923538,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750894967.937698,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750894973.662739,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750897016.3918371,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750898480.938208,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750899830.254665,breathingExercise,openedApp,False
