timezone,interventionDuration,app,isReIntervention,timestamp,interventionType,resolution,purpose,timeIntervalUntilReIntervention
America/New_York,1.5,instagram,False,1751854510.2363281,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751854514.618074,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751854581.5374389,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751854949.6838078,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751854985.300883,breathingExercise,openedApp,Search Info,240.0
America/New_York,1.5,facebook,False,1751895032.25791,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751902487.3330178,breathingExercise,openedApp,Toilet,300.0
America/New_York,1.5,instagram,False,1751902638.6348329,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751902654.1854649,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751902873.0653548,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751906230.947692,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751906334.942163,breathingExercise,openedApp,Entertainment,240.0
America/New_York,1.5,facebook,False,1751906929.330145,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751906945.218535,breathingExercise,openedApp,Bored,480.0
America/New_York,1.5,instagram,False,1751907110.2015991,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751907122.608005,breathingExercise,openedApp,Bored,480.0
America/New_York,1.5,facebook,False,1751911198.248509,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751911287.1294432,breathingExercise,openedApp,Relax,300.0
America/New_York,1.5,facebook,False,1751914305.000054,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751914447.7572122,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751915385.751405,breathingExercise,openedApp,Search Info,300.0
America/New_York,1.5,facebook,False,1751915582.557107,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751917458.4311318,breathingExercise,openedApp,Relax,300.0
America/New_York,1.5,facebook,False,1751924281.4169068,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751936163.260617,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751936535.200453,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751936538.679278,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751936677.28617,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751937752.339246,breathingExercise,openedApp,Search Info,240.0
America/New_York,1.5,facebook,False,1751937993.420078,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751938188.16428,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751939220.6719599,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751940019.691057,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751940384.0091429,breathingExercise,openedApp,Check likes,120.0
America/New_York,1.5,facebook,False,1751940426.1486778,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751940437.766921,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751969079.563123,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751969323.7682672,breathingExercise,openedApp,Entertainment,300.0
America/New_York,1.5,facebook,False,1751970647.661845,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751999200.805982,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1751999248.975836,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1751999840.6597319,breathingExercise,openedApp,Escape / Avoid,360.0
America/New_York,1.5,facebook,False,1752001350.872685,breathingExercise,openedApp,Bored,420.0
America/New_York,1.5,instagram,False,1752003004.284006,breathingExercise,openedApp,Search Info,480.0
America/New_York,1.5,instagram,False,1752003301.6575909,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1752003954.415127,breathingExercise,openedApp,Stay In the Loop,660.0
America/New_York,1.5,instagram,False,1752004895.234867,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1752005986.8038101,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1752006901.821165,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1752006912.016212,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1752007057.511849,breathingExercise,openedApp,Check likes,720.0
America/New_York,1.5,facebook,False,1752008093.333885,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1752008112.410151,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1752009642.083138,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,facebook,False,1752009666.50907,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1752009802.159817,breathingExercise,openedApp,Relax,1200.0
America/New_York,1.5,instagram,True,1752011079.714567,breathingExercise,openedApp,Bored,1200.0
America/New_York,1.5,facebook,False,1752012916.608451,breathingExercise,openedApp,Post something,480.0
America/New_York,1.5,facebook,False,1752013216.098763,breathingExercise,dismissedAppOpening,,
America/New_York,1.5,instagram,False,1752022655.491395,breathingExercise,openedApp,Entertainment,900.0
America/New_York,1.5,instagram,False,1752023644.977021,breathingExercise,openedApp,Message,360.0
America/New_York,1.5,facebook,False,1752023855.045037,breathingExercise,dismissedAppOpening,,
