app,timezone,interventionDuration,timestamp,resolution,isReIntervention,interventionType,purpose,timeIntervalUntilReIntervention
instagram,America/Sao_Paulo,1.5,1750977535.7357779,dismissedAppOpening,False,breathingExercise,,
youtube,America/Sao_Paulo,1.5,1750977595.1039438,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1750977901.3129091,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1750977934.702067,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1750978084.179548,openedApp,False,breathingExercise,Pesquisar informações,120.0
instagram,America/Sao_Paulo,1.5,1750983524.39204,openedApp,False,breathingExercise,Distração,60.0
youtube,America/Sao_Paulo,1.5,1750983548.199425,openedApp,False,breathingExercise,Distração,
instagram,America/Sao_Paulo,1.5,1751005220.7207708,openedApp,False,breathingExercise,Ficar por dentro,60.0
instagram,America/Sao_Paulo,1.5,1751009169.0909638,openedApp,False,breathingExercise,Ficar por dentro,120.0
youtube,America/Sao_Paulo,1.5,1751009299.4687371,openedApp,False,breathingExercise,Ficar por dentro,
instagram,America/Sao_Paulo,1.5,1751011261.810852,openedApp,False,breathingExercise,Entediado,60.0
instagram,America/Sao_Paulo,1.5,1751011733.966636,openedApp,False,breathingExercise,Distração,60.0
youtube,America/Sao_Paulo,1.5,1751011817.8930712,openedApp,False,breathingExercise,Distração,
instagram,America/Sao_Paulo,1.5,1751011846.253004,dismissedAppOpening,False,breathingExercise,,
youtube,America/Sao_Paulo,1.5,1751011857.712698,openedApp,False,breathingExercise,Distração,
instagram,America/Sao_Paulo,1.5,1751015205.484843,openedApp,False,breathingExercise,Entretenimento,120.0
instagram,America/Sao_Paulo,1.5,1751015710.0013862,openedApp,False,breathingExercise,Distração,120.0
instagram,America/Sao_Paulo,1.5,1751015800.8326988,openedApp,False,breathingExercise,Distração,300.0
instagram,America/Sao_Paulo,1.5,1751016054.1342611,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751016063.9121451,openedApp,False,breathingExercise,Distração,60.0
instagram,America/Sao_Paulo,1.5,1751016351.178081,dismissedAppOpening,False,breathingExercise,,
youtube,America/Sao_Paulo,1.5,1751016518.315839,openedApp,False,breathingExercise,Relaxar,
instagram,America/Sao_Paulo,1.5,1751023244.6655002,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751023782.139268,openedApp,False,breathingExercise,Entretenimento,60.0
instagram,America/Sao_Paulo,1.5,1751023863.794656,openedApp,True,breathingExercise,Entretenimento,300.0
instagram,America/Sao_Paulo,1.5,1751024253.81094,dismissedAppOpening,False,breathingExercise,,
youtube,America/Sao_Paulo,1.5,1751024275.491725,openedApp,False,breathingExercise,Distração,
youtube,America/Sao_Paulo,1.5,1751026438.20334,openedApp,False,breathingExercise,Distração,
instagram,America/Sao_Paulo,1.5,1751030375.72106,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751032418.234758,openedApp,False,breathingExercise,Ficar por dentro,180.0
youtube,America/Sao_Paulo,1.5,1751032695.610074,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751033077.511028,openedApp,False,breathingExercise,Distração,300.0
youtube,America/Sao_Paulo,1.5,1751033339.272289,openedApp,False,breathingExercise,Distração,
instagram,America/Sao_Paulo,1.5,1751033390.042938,openedApp,False,breathingExercise,Ficar por dentro,180.0
instagram,America/Sao_Paulo,1.5,1751033824.568037,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751033826.807119,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751037631.413986,dismissedAppOpening,False,breathingExercise,,
instagram,America/Sao_Paulo,1.5,1751038118.926466,openedApp,False,breathingExercise,Distração,60.0
instagram,America/Sao_Paulo,1.5,1751039677.888682,openedApp,False,breathingExercise,Entretenimento,300.0
youtube,America/Sao_Paulo,1.5,1751040009.236548,openedApp,False,breathingExercise,Entretenimento,
instagram,America/Sao_Paulo,1.5,1751040743.8487458,openedApp,False,breathingExercise,Entretenimento,300.0
instagram,America/Sao_Paulo,1.5,1751040761.035717,openedApp,True,breathingExercise,Distração,300.0
youtube,America/Sao_Paulo,1.5,1751040996.8220649,openedApp,False,breathingExercise,Distração,
instagram,America/Sao_Paulo,1.5,1751041608.23576,openedApp,False,breathingExercise,Relaxar,60.0
instagram,America/Sao_Paulo,1.5,1751041681.283201,openedApp,True,breathingExercise,Relaxar,300.0
youtube,America/Sao_Paulo,1.5,1751042001.938272,openedApp,False,breathingExercise,Relaxar,
instagram,America/Sao_Paulo,1.5,1751047332.623807,openedApp,False,breathingExercise,Entretenimento,60.0
