interventionType,timestamp,resolution,interventionDuration,isReIntervention,timezone,app,purpose
breathingExercise,1752411317.0004048,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752413766.251412,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752413915.7725558,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752414504.4637132,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752414535.597991,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752415178.246358,openedApp,1.5,False,Asia/Tehran,twitter,Escape / Avoid
breathingExercise,1752415508.8242102,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752416731.850624,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752417921.7782412,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752420170.277617,openedApp,1.5,False,Asia/Tehran,twitter,Escape / Avoid
breathingExercise,1752420225.680886,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752422981.879147,openedApp,1.5,False,Asia/Tehran,instagram,Stalk crush
breathingExercise,1752424630.70997,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752425682.197177,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752426456.6294122,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752427377.566822,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752427732.782865,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752427742.9288201,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752428697.4832501,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752428727.2745252,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752429073.43262,openedApp,1.5,False,Asia/Tehran,twitter,Escape / Avoid
breathingExercise,1752429474.050688,openedApp,1.5,False,Asia/Tehran,twitter,Escape / Avoid
breathingExercise,1752429562.999629,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752429955.580612,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752430082.7704902,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752430608.841535,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752430712.6740088,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752430766.582058,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752430986.521908,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752431207.3563519,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752431337.740377,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752431349.05765,openedApp,1.5,False,Asia/Tehran,twitter,Post something
breathingExercise,1752431526.379943,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752431648.7812052,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752431764.440047,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752431934.379533,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752432482.0695581,openedApp,1.5,False,Asia/Tehran,twitter,Stay In the Loop
breathingExercise,1752432837.666194,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752433260.280809,openedApp,1.5,False,Asia/Tehran,instagram,Stay In the Loop
breathingExercise,1752433429.249162,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752433446.338964,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752433609.4134998,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752435826.17537,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752435955.1520371,openedApp,1.5,False,Asia/Tehran,twitter,Escape / Avoid
breathingExercise,1752436138.025552,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752442732.8650079,openedApp,1.5,False,Asia/Tehran,twitter,Bored
breathingExercise,1752442760.467241,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752460457.5923,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752460838.430593,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752467450.6548982,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752473239.225453,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752473352.5956268,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752473675.3685741,openedApp,1.5,False,Asia/Tehran,twitter,Stay In the Loop
breathingExercise,1752480198.34054,openedApp,1.5,False,Asia/Tehran,twitter,Stay In the Loop
breathingExercise,1752482086.671328,openedApp,1.5,False,Asia/Tehran,twitter,Stay In the Loop
breathingExercise,1752482114.794435,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
