app,timestamp,resolution,interventionType,interventionDuration,timezone,isReIntervention
amazon,1751774072.3785582,dismissedAppOpening,breathingExercise,1.5,America/New_York,False
amazon,1752026829.879601,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752026873.8971128,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752177203.6386871,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752177239.2403579,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752177363.497874,dismissedAppOpening,breathingExercise,1.5,America/New_York,False
amazon,1752177370.680201,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752177431.181099,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752177535.3106341,openedApp,breathingExercise,1.5,America/New_York,False
amazon,1752410963.49259,openedApp,breathingExercise,1.5,America/Chicago,False
amazon,1752411117.617501,openedApp,breathingExercise,1.5,America/Chicago,False
