app,isReIntervention,resolution,interventionType,timestamp,interventionDuration,timezone
instagram,False,openedApp,breathingExercise,1748751285.606045,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1748807364.047814,1.5,America/Chicago
instagram,False,dismissedAppOpening,breathingExercise,1748851011.972158,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1748879962.275042,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1748918491.494173,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1748918569.09544,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749057621.27355,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749100639.2819529,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749100711.925715,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749100775.026243,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749192252.656328,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749275214.563359,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749275636.508515,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749276317.645452,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749343822.552494,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749350871.22103,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749350939.5749478,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749408932.8227658,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749445519.797367,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749485976.360756,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749486122.757236,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749527959.793999,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749690999.975079,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749692154.64663,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749695952.805378,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749705253.334519,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749777947.231312,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749778012.563313,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749784956.84722,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749785274.3077412,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749827580.34144,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749828231.6815572,1.5,America/Chicago
instagram,False,openedApp,breathingExercise,1749878171.545722,6.0,America/Chicago
instagram,False,openedApp,breathingExercise,1749911173.165029,6.0,America/Chicago
instagram,False,openedApp,breathingExercise,1749936503.981803,6.0,America/Chicago
