app,timestamp,isReIntervention,resolution,interventionDuration,timezone,interventionType
instagram,1752052694.3254051,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752071919.824362,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752074445.788135,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752092514.2899652,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752092838.722656,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752102640.128158,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752103081.591278,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752103090.0661922,False,openedApp,,Europe/London,
instagram,1752103150.0661922,False,closedApp,,Europe/London,
instagram,1752103150.0661922,False,dismissedAppOpening,,Europe/London,
instagram,1752138692.407309,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752150141.248311,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752164346.261487,False,openedApp,,Europe/London,
instagram,1752164406.261487,False,closedApp,,Europe/London,
instagram,1752164406.261487,False,dismissedAppOpening,,Europe/London,
instagram,1752164547.6293402,False,openedApp,,Europe/London,
instagram,1752164607.6293402,False,closedApp,,Europe/London,
instagram,1752164607.6293402,False,dismissedAppOpening,,Europe/London,
instagram,1752168005.1546159,False,openedApp,,Europe/London,
instagram,1752168065.1546159,False,closedApp,,Europe/London,
instagram,1752168065.1546159,False,dismissedAppOpening,,Europe/London,
instagram,1752183300.184537,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752186974.870168,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752222277.9965649,False,openedApp,,Europe/London,
instagram,1752222337.996566,False,closedApp,,Europe/London,
instagram,1752222337.996566,False,dismissedAppOpening,,Europe/London,
instagram,1752236641.669963,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752236992.473057,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752248010.740326,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752252341.7821112,False,openedApp,,Europe/London,
instagram,1752252401.7821112,False,closedApp,,Europe/London,
instagram,1752252401.7821112,False,dismissedAppOpening,,Europe/London,
instagram,1752254431.802675,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752254564.446803,False,openedApp,,Europe/London,
instagram,1752254624.446803,False,closedApp,,Europe/London,
instagram,1752254624.446803,False,dismissedAppOpening,,Europe/London,
instagram,1752259072.2802448,False,openedApp,,Europe/London,
instagram,1752259132.280246,False,closedApp,,Europe/London,
instagram,1752259132.280246,False,dismissedAppOpening,,Europe/London,
instagram,1752267513.1473432,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752272723.681137,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752306301.7051492,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752306314.641415,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752314888.857166,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752353540.937921,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752358069.573351,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752378076.109964,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752378090.0922651,False,openedApp,,Europe/London,
instagram,1752378150.092266,False,closedApp,,Europe/London,
instagram,1752378150.092266,False,dismissedAppOpening,,Europe/London,
instagram,1752402840.156441,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752405216.0647302,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752407077.545495,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752439517.157352,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752442368.811161,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752442439.956637,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752444157.3280559,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752445627.131249,False,openedApp,,Europe/London,
instagram,1752445687.13125,False,closedApp,,Europe/London,
instagram,1752445687.13125,False,dismissedAppOpening,,Europe/London,
instagram,1752445702.701942,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752449364.261322,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752480644.066101,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752480667.3953109,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752486233.3703399,False,openedApp,,Europe/London,
instagram,1752486293.3703399,False,closedApp,,Europe/London,
instagram,1752486293.3703399,False,dismissedAppOpening,,Europe/London,
instagram,1752503303.5499,False,openedApp,,Europe/London,
instagram,1752503363.549901,False,closedApp,,Europe/London,
instagram,1752503363.549901,False,dismissedAppOpening,,Europe/London,
instagram,1752506347.159904,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752525766.581514,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752526202.885829,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752532303.0108938,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752532599.618246,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752566762.228308,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752569560.298136,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752592813.197644,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752598738.500057,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752611630.090399,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752618729.1823769,False,dismissedAppOpening,1.5,Europe/London,breathingExercise
instagram,1752618744.145663,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752650939.8652148,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752651138.121057,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752652058.541963,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752652805.4030418,False,openedApp,,Europe/London,
instagram,1752652865.403043,False,closedApp,,Europe/London,
instagram,1752652865.403043,False,dismissedAppOpening,,Europe/London,
instagram,1752661050.894074,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752661121.879967,False,openedApp,1.5,Europe/London,breathingExercise
instagram,1752664738.482121,False,openedApp,1.5,Europe/London,breathingExercise
