isReIntervention,interventionDuration,app,interventionType,timezone,purpose,resolution,timestamp
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753310430.6033258
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753310514.7874131
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753310758.7631269
False,1.5,youtubeMusic,breathingExercise,Europe/London,,dismissedAppOpening,1753311715.977085
False,1.5,youtubeMusic,breathingExercise,Europe/London,,dismissedAppOpening,1753311719.6238089
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753311824.636281
False,1.5,youtubeMusic,breathingExercise,Europe/London,,dismissedAppOpening,1753311863.5995169
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753311903.684291
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753312270.926111
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753313114.018336
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753314150.077694
False,1.5,brave,breathingExercise,Europe/London,Can’t sleep,openedApp,1753316591.0973902
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753318279.655065
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753318944.6016889
False,1.5,brave,breathingExercise,Europe/London,Can’t sleep,openedApp,1753318960.999224
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753321047.029923
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753344019.939324
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753344035.54502
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753344167.395002
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753345188.932181
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753345595.404475
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753345761.289952
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753345850.238009
False,1.5,youtubeMusic,breathingExercise,Europe/London,,dismissedAppOpening,1753345854.458085
False,1.5,youtubeMusic,breathingExercise,Europe/London,,dismissedAppOpening,1753345964.864565
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753345976.0940862
False,1.5,youtubeMusic,breathingExercise,Europe/London,,dismissedAppOpening,1753346314.148847
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753346476.237858
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753347078.647268
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753347188.253911
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753352429.477061
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753352447.0387459
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753352610.2828
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753352711.263479
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753352726.7229838
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753352763.978584
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753353732.804673
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753354133.576868
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753355091.479116
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753357073.124323
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753357079.035771
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753365637.577555
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753365773.387092
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753368319.240469
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753368711.2923799
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753369061.175837
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753376076.300154
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753376152.1207108
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753376288.8213248
False,1.5,mcDonalds,breathingExercise,Europe/London,,dismissedAppOpening,1753376294.602798
False,1.5,mcDonalds,breathingExercise,Europe/London,,dismissedAppOpening,1753376298.3414059
False,1.5,youtubeMusic,breathingExercise,Europe/London,Entertainment,openedApp,1753376772.385531
False,1.5,mcDonalds,breathingExercise,Europe/London,,dismissedAppOpening,1753376887.9688392
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753377730.9994922
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753377823.81807
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753378970.7720652
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753378977.822886
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753379023.682613
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753380459.072845
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753382638.032754
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753383040.8373399
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753383124.1896071
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753383130.201138
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753383790.28517
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753383886.414417
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753384005.428688
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753384014.321015
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753384071.648643
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753384434.310357
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753385648.3059201
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753387864.6588569
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753387871.142462
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753388993.754216
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753412882.3554502
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753415003.2370582
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753415165.4528031
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753415405.4151878
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753427123.981453
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753427191.115946
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753427681.207353
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753428624.134517
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753429309.8378491
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753429344.2842898
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753429386.386222
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753437710.972902
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753437749.546942
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753437880.391432
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753437886.516115
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753438132.461491
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753438840.082171
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753438864.886508
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753439748.897138
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753439755.03131
False,1.5,brave,breathingExercise,Europe/London,Message,openedApp,1753439770.158088
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753440872.1461592
False,1.5,snapchat,breathingExercise,Europe/London,Message,openedApp,1753440944.463453
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753441158.828874
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753441161.900743
False,1.5,telegram,breathingExercise,Europe/London,,dismissedAppOpening,1753442012.075706
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753442021.5985808
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753442188.2959728
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753443832.877337
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753444834.665833
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753445453.78353
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753445828.96216
False,1.5,brave,breathingExercise,Europe/London,,dismissedAppOpening,1753445982.029237
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753446924.381373
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753449353.4504771
False,1.5,snapchat,breathingExercise,Europe/London,,dismissedAppOpening,1753450445.479008
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753450457.8734388
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753451253.377379
False,1.5,brave,breathingExercise,Europe/London,Entertainment,openedApp,1753454602.984088
False,1.5,snapchat,breathingExercise,Europe/London,Stay In the Loop,openedApp,1753454805.182137
False,1.5,telegram,breathingExercise,Europe/London,Message,openedApp,1753454818.9337559
