timezone,app,isReIntervention,interventionDuration,resolution,interventionType,timestamp
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748460182.919963
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748470698.189121
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748506139.03621
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748514375.993743
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748520141.212436
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748520677.703322
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748536035.173191
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748599443.6748052
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748602417.580239
Europe/Berlin,instagram,False,1.5,dismissedAppOpening,breathingExercise,1748606514.441011
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748630343.049355
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748634527.993729
Europe/Berlin,instagram,False,1.5,dismissedAppOpening,breathingExercise,1748634635.1353269
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748634999.539503
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748635297.606406
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748635430.1608381
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748635589.25427
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748635955.652431
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748645580.398552
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748646098.304443
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748646304.70007
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748677425.143256
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748693689.559279
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748695044.9430141
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748776490.685121
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748777018.338815
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748777617.803204
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748782221.849333
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748845868.740487
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748871896.285287
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748883922.353162
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748883950.142432
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748884312.800369
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748884658.585499
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748885597.937611
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748886747.714198
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748886779.622963
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1748887774.452524
