resolution,isReIntervention,timeIntervalUntilReIntervention,timezone,purpose,timestamp,app,interventionDuration,interventionType
openedApp,False,60.0,America/Argentina/Buenos_Aires,Bored,1751416409.068753,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751416434.2018108,tikTok,1.5,breathingExercise
openedApp,False,60.0,America/Argentina/Buenos_Aires,Bored,1751416444.221713,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751419856.535749,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751419860.508757,tikTok,1.5,breathingExercise
openedApp,False,60.0,America/Argentina/Buenos_Aires,Bored,1751421832.695984,tikTok,1.5,breathingExercise
openedApp,False,60.0,America/Argentina/Buenos_Aires,Message,1751458264.471002,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751463561.6147962,tikTok,1.5,breathingExercise
openedApp,False,60.0,America/Argentina/Buenos_Aires,Bored,1751471059.3096209,tikTok,1.5,breathingExercise
openedApp,False,60.0,America/Argentina/Buenos_Aires,Bored,1751477932.0656052,tikTok,1.5,breathingExercise
openedApp,False,300.0,America/Argentina/Buenos_Aires,Relax,1751484020.444628,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751484292.9679232,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751486158.5720491,tikTok,1.5,breathingExercise
openedApp,False,180.0,America/Argentina/Buenos_Aires,Bored,1751486182.8436298,tikTok,1.5,breathingExercise
openedApp,False,120.0,America/Argentina/Buenos_Aires,Bored,1751486397.819161,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751494849.810849,tikTok,1.5,breathingExercise
dismissedAppOpening,False,,America/Argentina/Buenos_Aires,,1751494863.08737,tikTok,1.5,breathingExercise
