timezone,timestamp,isReIntervention,interventionDuration,app,interventionType,resolution
America/New_York,1753062079.63468,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753070894.2847738,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753100216.325791,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753106852.576235,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753127443.2318869,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753127708.554043,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753127715.651301,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753144416.3737721,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753144524.72579,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753145063.743081,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753188658.658437,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753202184.978207,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753202454.46591,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753202600.3442469,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753202646.62391,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753203904.349494,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753204828.222801,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753204915.885967,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753205184.1048021,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753205264.651789,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753205356.3212628,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753206804.863126,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753206983.616304,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753208393.290889,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753211096.633895,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753211100.438473,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753274364.1551042,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753274509.5899591,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753277562.852551,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753360271.245256,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753378606.545313,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753412710.503484,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753413947.235913,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753413999.0172281,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753448476.944586,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753448994.989382,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753449056.954108,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753449345.939506,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753450397.9731221,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753450459.536296,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753450483.543213,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753451172.111691,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753451724.67549,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753466448.811531,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753466614.719376,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753532778.546761,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753532826.883332,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753533109.621253,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753533400.1884918,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753533406.7660022,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753540936.307496,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753620713.829098,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753620854.95017,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753620876.266257,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753622683.1678839,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753623285.141934,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753623717.4516401,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753623736.931234,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753625356.71952,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753657600.282773,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753657693.107637,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658083.3486671,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658165.5018249,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658273.88675,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658395.239859,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658470.925085,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658705.169839,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658797.2871819,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658914.8808289,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753658964.781852,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753659267.73495,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753660085.2757502,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753662052.6495728,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753662162.2113419,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753662267.828099,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753662568.010736,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753699975.540524,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753700171.768853,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753733480.0672212,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753733669.214127,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753737952.005408,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753739520.7325258,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753739725.470447,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753740418.596816,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753756415.764843,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753757029.3569,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753784484.6580858,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753784566.501754,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753788106.243202,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753829069.183296,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753830682.828529,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753832397.482489,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753832590.613493,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753834026.361845,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753872307.3389158,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753899671.241813,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753903933.265325,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753903955.581712,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753904168.453909,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753913765.4571118,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753927805.858932,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753927813.090691,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753928952.3378038,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753929384.156579,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753966559.1106992,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753966739.214673,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753966797.508563,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753969058.403707,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753969918.485712,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1753969930.06412,False,1.5,youtube,breathingExercise,dismissedAppOpening
America/New_York,1753972233.609335,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754051804.346391,False,1.5,youtube,breathingExercise,openedApp
America/New_York,1754052052.390477,False,1.5,youtube,breathingExercise,openedApp
