interventionType,timestamp,interventionDuration,resolution,app,timezone,isReIntervention
breathingExercise,1750378565.2173672,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750419761.341312,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750420071.03519,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750420290.0393481,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750424817.441468,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750429531.537785,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750432956.688585,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750433012.507314,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750442196.8685179,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750442215.818568,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750445257.926028,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750447361.217891,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750461592.726388,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750463560.6339478,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750474359.122338,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750505177.66785,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750505201.7250671,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750507377.874208,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750507721.6168098,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750507788.800843,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750512647.913868,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750519174.495486,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750528894.371166,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750621826.855885,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750669268.5510712,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750672320.3659282,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750672892.530457,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750673132.743351,1.5,dismissedAppOpening,safari,America/New_York,False
breathingExercise,1750690267.941406,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750696581.5641909,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750696596.3909268,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750699605.760261,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750705013.9010801,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750705376.502594,1.5,openedApp,safari,America/New_York,False
breathingExercise,1750707529.0799809,1.5,dismissedAppOpening,safari,America/New_York,False
