interventionType,timestamp,timezone,purpose,isReIntervention,interventionDuration,timeIntervalUntilReIntervention,app,resolution
breathingExercise,1750918904.653125,Europe/Amsterdam,Entertainment,False,1.5,300.0,youtube,openedApp
breathingExercise,1750919840.006507,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750921265.5672,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750928937.716562,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1750928950.2218199,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750928988.708003,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750929392.405383,Europe/Amsterdam,Ontspan je,False,1.5,,snapchat,openedApp
breathingExercise,1750934583.330945,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750935419.772219,Europe/Amsterdam,Entertainment,False,1.5,,snapchat,openedApp
breathingExercise,1750947264.201805,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1750949661.273006,Europe/Amsterdam,,False,1.5,,youtube,dismissedAppOpening
breathingExercise,1750950436.051056,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750950751.208036,Europe/Amsterdam,Ontspan je,True,1.5,300.0,tikTok,openedApp
breathingExercise,1750951065.081496,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750951236.9712029,Europe/Amsterdam,,False,1.5,,tikTok,dismissedAppOpening
breathingExercise,1750952330.977981,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1750952393.260421,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,tikTok,openedApp
breathingExercise,1750955959.5085158,Europe/Amsterdam,Entertainment,False,1.5,300.0,youtube,openedApp
breathingExercise,1750956109.474059,Europe/Amsterdam,Ontspan je,False,1.5,,snapchat,openedApp
breathingExercise,1750967067.947144,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1750969866.464576,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,youtube,openedApp
breathingExercise,1750970225.169568,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1751000842.012031,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,,snapchat,openedApp
breathingExercise,1751000869.48541,Europe/Amsterdam,Verveeld,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751002703.345142,Europe/Amsterdam,Verveeld,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751003090.90879,Europe/Amsterdam,Watercloset,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751003416.168256,Europe/Amsterdam,Verveeld,True,1.5,300.0,tikTok,openedApp
breathingExercise,1751003752.36194,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751004273.415956,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,youtube,openedApp
breathingExercise,1751011950.159739,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,,snapchat,openedApp
breathingExercise,1751017077.156231,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751017210.610079,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751017406.49943,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751025244.5586128,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1751025369.549593,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1751027277.186029,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1751029386.787228,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1751033517.466485,Europe/Amsterdam,Entertainment,False,1.5,,snapchat,openedApp
breathingExercise,1751034988.848886,Europe/Amsterdam,Ontsnappen / Vermijden,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751035495.3496609,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751053456.288331,Europe/Amsterdam,Entertainment,False,1.5,,snapchat,openedApp
breathingExercise,1751055533.3540921,Europe/Amsterdam,Entertainment,False,1.5,,snapchat,openedApp
breathingExercise,1751055625.9720302,Europe/Amsterdam,Entertainment,False,1.5,300.0,tikTok,openedApp
breathingExercise,1751056400.5974689,Europe/Amsterdam,Kan niet slapen,False,1.5,,snapchat,openedApp
breathingExercise,1751056435.796653,Europe/Amsterdam,Entertainment,False,1.5,,snapchat,openedApp
breathingExercise,1751056456.007031,Europe/Amsterdam,Entertainment,False,1.5,300.0,youtube,openedApp
breathingExercise,1751056779.679857,Europe/Amsterdam,,True,1.5,,youtube,dismissedAppOpening
breathingExercise,1751056907.213338,Europe/Amsterdam,Entertainment,False,1.5,300.0,youtube,openedApp
breathingExercise,1751057144.39604,Europe/Amsterdam,Kan niet slapen,False,1.5,300.0,youtube,openedApp
breathingExercise,1751057461.729185,Europe/Amsterdam,Ontspan je,True,1.5,300.0,youtube,openedApp
breathingExercise,1751057773.305694,Europe/Amsterdam,Kan niet slapen,True,1.5,300.0,youtube,openedApp
breathingExercise,1751058079.085425,Europe/Amsterdam,Kan niet slapen,True,1.5,300.0,youtube,openedApp
breathingExercise,1751058383.505317,Europe/Amsterdam,,False,1.5,,snapchat,dismissedAppOpening
breathingExercise,1751058403.98241,Europe/Amsterdam,Kan niet slapen,False,1.5,300.0,youtube,openedApp
