interventionType,interventionDuration,resolution,app,isReIntervention,timestamp,timezone,purpose
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751479833.121799,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751481707.68715,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751481722.592169,Europe/Amsterdam,
breathingExercise,1.5,openedApp,tikTok,False,1751484199.042468,Europe/Amsterdam,Search Info
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751487694.429692,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751490472.863805,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751491004.981039,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751491046.835671,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751491197.806015,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751491335.231073,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751491348.3808389,Europe/Amsterdam,
breathingExercise,1.5,openedApp,tikTok,False,1751505813.7702432,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,tikTok,False,1751505879.4186249,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751531852.033759,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751534972.821842,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751535500.601256,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751539736.9695048,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751544365.026308,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,tikTok,False,1751544404.7268639,Europe/Amsterdam,Toilet
breathingExercise,1.5,openedApp,instagram,False,1751544447.570432,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751544564.912592,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751544681.448355,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751545078.6568608,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751545991.876394,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751546282.8221579,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751549993.232508,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751550004.3816938,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751550316.697053,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751555382.804727,Europe/Amsterdam,Search Info
breathingExercise,1.5,openedApp,instagram,False,1751555524.2634811,Europe/Amsterdam,Search Info
breathingExercise,1.5,openedApp,instagram,False,1751556023.402989,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,tikTok,False,1751557824.907495,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751557931.403589,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751565249.0079389,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751570185.148988,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751570396.569145,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751570491.432784,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751570496.229682,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751570603.123133,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751570788.895276,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751571381.421622,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751573367.5006142,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751573449.170062,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751573454.223472,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,tikTok,False,1751573608.459703,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751575473.290595,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751575524.42725,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,tikTok,False,1751576846.988132,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751578057.0918732,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751579551.6932402,Europe/Amsterdam,Bored
breathingExercise,1.5,openedApp,instagram,False,1751579665.165886,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751580748.5956779,Europe/Amsterdam,Message
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751582757.274153,Europe/Amsterdam,
breathingExercise,1.5,dismissedAppOpening,instagram,False,1751583287.760833,Europe/Amsterdam,
breathingExercise,1.5,openedApp,instagram,False,1751583300.401774,Europe/Amsterdam,Message
breathingExercise,1.5,openedApp,instagram,False,1751583484.169029,Europe/Amsterdam,Message
