resolution,isReIntervention,timezone,purpose,interventionDuration,interventionType,app,timestamp
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749755601.0568318
closedApp,False,America/Chicago,,,,instagram,1749755920.857755
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749756826.250284
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749757675.899055
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749757775.4233232
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749758254.866482
closedApp,False,America/Chicago,,,,instagram,1749758065.975667
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749758272.2719169
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749759232.21236
closedApp,False,America/Chicago,,,,instagram,1749760096.92493
closedApp,False,America/Chicago,,,,instagram,1749760199.9961882
openedApp,False,America/Chicago,Toilet,1.5,breathingExercise,instagram,1749761526.72756
closedApp,False,America/Chicago,,,,instagram,1749761947.6122189
closedApp,False,America/Chicago,,,,instagram,1749762547.963597
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749769357.390374
closedApp,False,America/Chicago,,,,instagram,1749769381.738988
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749769437.72828
closedApp,False,America/Chicago,,,,instagram,1749769471.1758819
closedApp,False,America/Chicago,,,,instagram,1749769703.3715239
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749774895.655143
closedApp,False,America/Chicago,,,,instagram,1749775008.160871
openedApp,False,America/Chicago,Texting ,1.5,breathingExercise,instagram,1749776935.0299711
closedApp,False,America/Chicago,,,,instagram,1749776999.2717729
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749798197.6034908
closedApp,False,America/Chicago,,,,instagram,1749798220.957793
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749806594.8200421
closedApp,False,America/Chicago,,,,instagram,1749806648.07802
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749807234.716285
closedApp,False,America/Chicago,,,,instagram,1749807258.0292358
openedApp,False,America/Chicago,Toilet,1.5,breathingExercise,instagram,1749807277.715183
closedApp,False,America/Chicago,,,,instagram,1749807820.50603
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749808217.285493
closedApp,False,America/Chicago,,,,instagram,1749808618.776297
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749809239.6288528
closedApp,False,America/Chicago,,,,instagram,1749809253.471681
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749830104.747664
closedApp,False,America/Chicago,,,,instagram,1749830337.533927
openedApp,False,America/Chicago,🧐 Research,1.5,breathingExercise,youtube,1749834683.086633
openedApp,False,America/Chicago,Toilet,1.5,breathingExercise,instagram,1749850386.355228
closedApp,False,America/Chicago,,,,instagram,1749850770.1845279
openedApp,False,America/Chicago,Bored,1.5,breathingExercise,instagram,1749852234.981313
closedApp,False,America/Chicago,,,,instagram,1749852543.504109
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749853666.077569
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749853792.6763968
closedApp,False,America/Chicago,,,,instagram,1749853818.263886
closedApp,False,America/Chicago,,,,instagram,1749853990.227858
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749856313.134337
closedApp,False,America/Chicago,,,,instagram,1749856327.158109
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749856354.337688
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749857159.3729448
closedApp,False,America/Chicago,,,,instagram,1749857877.69716
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749859078.869228
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749859975.0096269
closedApp,False,America/Chicago,,,,instagram,1749860162.0979
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749860202.0319629
closedApp,False,America/Chicago,,,,instagram,1749860223.3043342
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749873918.219552
closedApp,False,America/Chicago,,,,instagram,1749873980.998784
closedApp,False,America/Chicago,,,,instagram,1749874495.392725
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749877156.2894979
closedApp,False,America/Chicago,,,,instagram,1749877181.889107
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749906376.526887
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749906377.5905662
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749906380.096418
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,instagram,1749914331.497344
closedApp,False,America/Chicago,,,,instagram,1749914585.065934
openedApp,False,America/Chicago,Toilet,1.5,breathingExercise,instagram,1749915981.023333
closedApp,False,America/Chicago,,,,instagram,1749916368.47255
openedApp,False,America/Chicago,Relax,1.5,breathingExercise,youtube,1749925320.968231
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,youtube,1749926553.4623241
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749961454.2328439
closedApp,False,America/Chicago,,,,instagram,1749961469.611736
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749961538.7254372
closedApp,False,America/Chicago,,,,instagram,1749961612.24024
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749961654.582593
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749962943.296392
closedApp,False,America/Chicago,,,,instagram,1749963060.612679
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749963103.420628
closedApp,False,America/Chicago,,,,instagram,1749963396.087537
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749969450.424086
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749969540.7951941
closedApp,False,America/Chicago,,,,instagram,1749969608.291393
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749969633.7840881
closedApp,False,America/Chicago,,,,instagram,1749970026.4432402
openedApp,False,America/Chicago,Check likes,1.5,breathingExercise,instagram,1749970102.58466
closedApp,False,America/Chicago,,,,instagram,1749970234.947717
closedApp,False,America/Chicago,,,,instagram,1749970422.79333
dismissedAppOpening,False,America/Chicago,,1.5,breathingExercise,instagram,1749972949.05407
openedApp,False,America/Chicago,Toilet,1.5,breathingExercise,instagram,1750006366.039212
