isReIntervention,interventionDuration,timestamp,app,timezone,interventionType,resolution,timeIntervalUntilReIntervention
False,3.0,1751802553.015575,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751808895.879539,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751812013.896733,instagram,Europe/Berlin,,closedApp,
False,3.0,1751812263.125362,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751813468.123555,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751819979.7995691,youtube,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1751820919.664114,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751821239.744635,instagram,Europe/Berlin,,closedApp,
False,3.0,1751821280.9583678,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751821585.162319,instagram,Europe/Berlin,,closedApp,
True,3.0,1751821626.540059,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751821932.544159,instagram,Europe/Berlin,,closedApp,
True,3.0,1751821943.351132,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751822235.1963382,instagram,Europe/Berlin,,closedApp,
True,3.0,1751822246.087203,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,3.0,1751822687.732218,youtube,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,,1751822538.554644,instagram,Europe/Berlin,,closedApp,
False,3.0,1751822707.141207,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751823823.7069001,instagram,Europe/Berlin,breathingExercise,openedApp,180.0
False,,1751823972.82963,instagram,Europe/Berlin,,closedApp,
False,3.0,1751825469.8962622,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1751825636.422106,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751825943.184342,instagram,Europe/Berlin,,closedApp,
True,3.0,1751825951.99179,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751826242.70437,instagram,Europe/Berlin,,closedApp,
True,3.0,1751826251.403445,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751826544.868688,instagram,Europe/Berlin,,closedApp,
False,3.0,1751833541.725494,instagram,Europe/Berlin,breathingExercise,openedApp,180.0
False,,1751833593.933435,instagram,Europe/Berlin,,closedApp,
False,3.0,1751833992.545744,instagram,Europe/Berlin,breathingExercise,openedApp,120.0
False,,1751834125.6567512,instagram,Europe/Berlin,,closedApp,
False,3.0,1751834136.733283,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,3.0,1751866754.439116,instagram,Europe/Berlin,breathingExercise,openedApp,180.0
False,,1751834349.288049,instagram,Europe/Berlin,,closedApp,
False,,1751867044.661028,instagram,Europe/Berlin,,closedApp,
False,3.0,1751867053.8453798,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751885955.884397,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751886262.4912748,instagram,Europe/Berlin,,closedApp,
False,3.0,1751886389.286878,instagram,Europe/Berlin,breathingExercise,openedApp,600.0
False,,1751886995.372792,instagram,Europe/Berlin,,closedApp,
False,3.0,1751887175.021761,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751895069.2375588,instagram,Europe/Berlin,breathingExercise,openedApp,300.0
False,,1751895376.945056,instagram,Europe/Berlin,,closedApp,
False,3.0,1751896920.35843,instagram,Europe/Berlin,breathingExercise,openedApp,360.0
False,,1751897287.0624819,instagram,Europe/Berlin,,closedApp,
False,3.0,1751912950.4198809,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751913250.543412,instagram,Europe/Berlin,,closedApp,
False,3.0,1751913261.0251908,instagram,Europe/Berlin,breathingExercise,dismissedAppOpening,
False,3.0,1751915484.670127,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751915677.840972,instagram,Europe/Berlin,,closedApp,
False,3.0,1751918004.24867,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751918553.223987,instagram,Europe/Berlin,,closedApp,
False,3.0,1751959548.020434,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751960055.032006,instagram,Europe/Berlin,,closedApp,
False,3.0,1751960077.661584,instagram,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751960586.342256,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751960671.239399,instagram,Europe/Berlin,,closedApp,
False,3.0,1751960902.669235,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751961529.5056639,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751961671.3317251,instagram,Europe/Berlin,,closedApp,
False,3.0,1751972917.647953,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751974678.714598,instagram,Europe/Berlin,,closedApp,
False,,1751977542.318094,instagram,Europe/Berlin,,closedApp,
False,3.0,1751977550.156656,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1751977568.7095408,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751978729.811744,instagram,Europe/Berlin,,closedApp,
False,3.0,1751981544.1403298,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1751982345.91007,instagram,Europe/Berlin,,closedApp,
False,3.0,1752000085.115742,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752002782.915608,instagram,Europe/Berlin,,closedApp,
False,3.0,1752004757.837059,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752005705.115806,instagram,Europe/Berlin,,closedApp,
False,3.0,1752135437.4659839,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752136035.503669,instagram,Europe/Berlin,,closedApp,
False,3.0,1752142325.481719,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752142657.1932878,instagram,Europe/Berlin,,closedApp,
False,3.0,1752142669.821528,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752146415.5240169,instagram,Europe/Berlin,,closedApp,
False,3.0,1752171608.335559,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752173639.205915,instagram,Europe/Berlin,,closedApp,
False,3.0,1752174136.6457372,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752174228.3006902,instagram,Europe/Berlin,,closedApp,
False,,1752174230.698794,instagram,Europe/Berlin,,closedApp,
False,3.0,1752174282.663313,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752174639.924155,instagram,Europe/Berlin,,closedApp,
False,3.0,1752176877.764219,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752177374.2201319,instagram,Europe/Berlin,,closedApp,
False,3.0,1752177477.502431,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752212071.103664,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752212122.879847,youtube,Europe/Berlin,breathingExercise,openedApp,
False,3.0,1752213462.420045,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752213602.357707,instagram,Europe/Berlin,,closedApp,
False,3.0,1752224001.515322,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752226799.488373,instagram,Europe/Berlin,,closedApp,
False,3.0,1752234557.040308,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752234980.491724,instagram,Europe/Berlin,,closedApp,
False,,1752235093.908859,instagram,Europe/Berlin,,closedApp,
False,,1752235128.318016,instagram,Europe/Berlin,,closedApp,
False,3.0,1752246060.4859738,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752246765.1974092,instagram,Europe/Berlin,,closedApp,
False,3.0,1752246870.595751,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752246981.8153238,instagram,Europe/Berlin,,closedApp,
False,3.0,1752255749.944452,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752255812.23763,instagram,Europe/Berlin,,closedApp,
False,3.0,1752255886.864382,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752255971.695342,instagram,Europe/Berlin,,closedApp,
False,3.0,1752262738.565691,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752262776.335125,instagram,Europe/Berlin,,closedApp,
False,3.0,1752302757.926369,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752302874.158196,instagram,Europe/Berlin,,closedApp,
False,3.0,1752348427.225222,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752348518.543783,instagram,Europe/Berlin,,closedApp,
False,3.0,1752394999.489712,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752395580.352561,instagram,Europe/Berlin,,closedApp,
False,3.0,1752399341.0752501,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752400005.7526941,instagram,Europe/Berlin,,closedApp,
False,3.0,1752411805.356715,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752411912.951696,instagram,Europe/Berlin,,closedApp,
False,,1752412051.882478,instagram,Europe/Berlin,,closedApp,
False,,1752412152.7679338,instagram,Europe/Berlin,,closedApp,
False,,1752412185.867796,instagram,Europe/Berlin,,closedApp,
False,3.0,1752412288.794857,instagram,Europe/Berlin,breathingExercise,openedApp,
False,,1752412427.9149098,instagram,Europe/Berlin,,closedApp,
