timestamp,isReIntervention,interventionType,app,resolution,timezone,interventionDuration,purpose
1749512642.468392,False,breathingExercise,tikTok,dismissedAppOpening,Europe/Berlin,3.0,
1749512654.941438,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,Message
1749512737.968111,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,Message
1749513128.881355,False,breathingExercise,tumblr,dismissedAppOpening,Europe/Berlin,3.0,
1749513146.959626,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,cause i wanna 
1749513179.8926392,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,doomscroll
1749513901.079565,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,grrr
1749513959.580138,False,breathingExercise,tikTok,dismissedAppOpening,Europe/Berlin,3.0,
1749514197.5232391,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,t
1749514285.581645,False,,tikTok,closedApp,Europe/Berlin,,
1749514303.982709,False,,tikTok,closedApp,Europe/Berlin,,
1749524887.5686111,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,wastknb tkme cnasinb vsrd 
1749536411.549786,False,breathingExercise,tumblr,dismissedAppOpening,Europe/Berlin,3.0,
1749524965.54631,False,,tikTok,closedApp,Europe/Berlin,,
1749536424.507695,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,jjj
1749536446.657278,False,,tumblr,closedApp,Europe/Berlin,,
1749536462.8057299,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,kiki do yiy love me 
1749537328.706646,False,,tikTok,closedApp,Europe/Berlin,,
1749537545.097457,False,,tikTok,closedApp,Europe/Berlin,,
1749540452.007403,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,scroll
1749540484.155252,False,,tikTok,closedApp,Europe/Berlin,,
1749541082.305119,False,,tikTok,closedApp,Europe/Berlin,,
1749541255.4006639,False,,tikTok,closedApp,Europe/Berlin,,
1749544171.389063,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,b
1749544192.012236,False,,tikTok,closedApp,Europe/Berlin,,
1749545264.551754,False,,tikTok,closedApp,Europe/Berlin,,
1749550792.829637,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,h
1749552413.065113,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,n
1749552454.644069,False,,tikTok,closedApp,Europe/Berlin,,
1749552464.4352698,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,Stay In the Loop
1749552479.3931231,False,,tumblr,closedApp,Europe/Berlin,,
1749552581.4022489,False,,tumblr,closedApp,Europe/Berlin,,
1749552618.419122,False,,tumblr,closedApp,Europe/Berlin,,
1749555763.013061,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,Stay In the Loop
1749555784.769713,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,Search Info
1749557082.295728,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,Message
1749555855.732867,False,,tikTok,closedApp,Europe/Berlin,,
1749556418.6101089,False,,tikTok,closedApp,Europe/Berlin,,
1749557124.6952891,False,,tikTok,closedApp,Europe/Berlin,,
1749559593.694491,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,Message
1749559731.482856,False,,tikTok,closedApp,Europe/Berlin,,
1749561037.6809711,False,,tikTok,closedApp,Europe/Berlin,,
1749561528.264982,False,,tikTok,closedApp,Europe/Berlin,,
1749561716.126426,False,,tikTok,closedApp,Europe/Berlin,,
1749569358.5861058,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,Entertainment
1749571681.069511,False,breathingExercise,tumblr,openedApp,Europe/Berlin,3.0,Stay In the Loop
1749569553.569628,False,,tikTok,closedApp,Europe/Berlin,,
1749570207.1968179,False,,tikTok,closedApp,Europe/Berlin,,
1749570225.0403938,False,,tikTok,closedApp,Europe/Berlin,,
1749570263.65771,False,,tikTok,closedApp,Europe/Berlin,,
1749570793.6936321,False,,tikTok,closedApp,Europe/Berlin,,
1749571030.811444,False,,tikTok,closedApp,Europe/Berlin,,
1749571669.299952,False,,tikTok,closedApp,Europe/Berlin,,
1749571737.54543,False,,tumblr,closedApp,Europe/Berlin,,
1749571902.9434319,False,breathingExercise,tikTok,openedApp,Europe/Berlin,3.0,Entertainment
1749572074.829692,False,,tikTok,closedApp,Europe/Berlin,,
1749572124.8344011,False,,tikTok,closedApp,Europe/Berlin,,
1749572377.470765,False,,tikTok,closedApp,Europe/Berlin,,
