app,interventionDuration,resolution,timestamp,timezone,isReIntervention,interventionType,timeIntervalUntilReIntervention,purpose,terminationReason
instagram,3.0,dismissedAppOpening,1749529061.1894531,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749529062.903734,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749529157.663785,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749529199.890132,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749529223.8198462,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749529979.0806699,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749530034.625671,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,openedApp,1749531311.591501,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749533634.332608,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749533642.884574,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749533721.888005,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749534398.129375,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749534401.940819,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749534494.210349,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,openedApp,1749534550.5461822,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749535755.79017,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749536398.2621999,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749536401.376046,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,openedApp,1749537124.542541,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749537296.486096,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749537717.549027,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749537731.674903,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749538039.53961,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749538136.559994,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,openedApp,1749538206.584872,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749539189.7359772,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749539303.019238,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,openedApp,1749539367.89691,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,dismissedAppOpening,1749540415.584958,Asia/Tokyo,0.0,breathingExercise,,,
instagram,3.0,openedApp,1749543146.7179708,Asia/Tokyo,0.0,breathingExercise,,,
