interventionDuration,interventionType,timezone,resolution,app,timestamp,isReIntervention
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753360918.269697,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753364442.483583,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753368013.947112,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753382216.834063,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753382294.010236,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753383809.9885778,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753384030.679081,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753388510.7392402,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753398432.3915849,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753408992.973702,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753409218.111857,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753423038.290813,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753427386.9243531,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753429158.047488,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753429158.206991,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753429901.190096,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753431045.246876,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753447990.247545,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753458030.351474,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753459818.751884,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753500410.681068,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753500485.431848,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753528231.433086,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753528724.22604,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753529603.542984,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753530131.235621,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753530143.666349,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753547309.423626,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753548709.012909,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753634130.889545,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753682714.100352,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1753699416.221068,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753740902.286349,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753751702.454915,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753759933.1354198,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753762740.7862039,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753787359.3419619,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753825601.144084,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753872293.489789,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753882054.8167372,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753883087.065721,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753884055.3222919,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1753946280.966782,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1754007592.0386229,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1754224339.40511,False
3,breathingExercise,Asia/Tokyo,dismissedAppOpening,discord,1754355258.7194629,False
3,breathingExercise,Asia/Tokyo,openedApp,discord,1754376361.769635,False
