resolution,interventionType,timestamp,interventionDuration,isReIntervention,timezone,app,purpose
dismissedAppOpening,breathingExercise,1750662937.4248981,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1750662953.5058079,3,False,Europe/London,whastapp,Stay In the Loop
dismissedAppOpening,breathingExercise,1750662974.936399,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1750662981.074866,3,False,Europe/London,brawlStars,
openedApp,breathingExercise,1750690516.578045,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1750691741.00243,3,False,Europe/London,google,
openedApp,breathingExercise,1750691753.618834,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750691792.936545,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750692827.3193269,3,False,Europe/London,brawlStars,Bored
openedApp,breathingExercise,1750693219.1751208,3,False,Europe/London,google,Bored
openedApp,breathingExercise,1750694226.706234,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1750695724.4894528,3,False,Europe/London,whastapp,
dismissedAppOpening,breathingExercise,1750695729.9292011,3,False,Europe/London,gmail,
openedApp,breathingExercise,1750695748.721792,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1750696279.020817,3,False,Europe/London,spotify,
openedApp,breathingExercise,1750696703.922833,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1750705320.241599,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1750705537.902837,3,False,Europe/London,google,Bored
dismissedAppOpening,breathingExercise,1750706451.480338,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1750706469.761303,3,False,Europe/London,clashOfClans,Bored
openedApp,breathingExercise,1750706651.417563,3,False,Europe/London,google,Escape / Avoid
openedApp,breathingExercise,1750707150.768244,3,False,Europe/London,brawlStars,Bored
dismissedAppOpening,breathingExercise,1750743654.3014731,3,False,Europe/London,whastapp,
openedApp,breathingExercise,1750743665.435343,3,False,Europe/London,google,Bored
