interventionDuration,timestamp,timezone,app,resolution,isReIntervention,interventionType
3,1753088959.848151,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753090524.1894379,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753092827.251862,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753096730.7593122,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753099687.332644,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753101566.404485,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753102399.8711638,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753102871.2476702,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753103091.614548,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753104424.709218,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753105221.6130838,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753108434.5125341,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753112092.684128,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753112893.501446,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753113203.231025,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753116689.2114239,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753116818.042767,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753117601.881691,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753119472.356731,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753119485.054357,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753119535.3816462,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753120713.001451,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753120718.538549,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753121213.488708,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753131541.7175732,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753131554.533759,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753133435.863534,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753134221.135425,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753134233.659595,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753137267.5099201,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753137899.9581928,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753138735.335422,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753139793.658809,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753169841.6227,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753169853.85973,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753170039.401208,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753170776.883383,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753170796.779025,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753173217.117185,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753174253.468629,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753179139.725391,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753179144.9546309,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753179659.45014,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753183970.266968,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753183982.5521622,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753186724.108368,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753186731.720952,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753186742.813004,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753186781.3651419,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753186783.782789,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753192557.978354,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753192569.418807,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753196556.267839,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753196561.150539,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753199598.34044,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753199608.301017,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753203886.553234,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753203889.134986,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753206556.465691,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753206559.080418,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753207482.535106,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753207492.315067,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753207843.468796,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753210963.611398,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753211368.310739,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753213573.5488482,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753214110.493474,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753214113.1830978,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753214115.50766,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753215767.800957,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753219721.7240028,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753219751.109206,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753219760.032189,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753223621.0154629,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753223913.525995,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753225779.209507,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753255837.976129,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753257209.677486,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753261554.6444402,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753261831.646549,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753261850.2135448,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753263040.4704561,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753263326.1539888,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753263351.907764,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753267145.8794842,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753267155.870445,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753268179.947165,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753268184.890809,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753269006.6170812,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753269455.310293,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753269526.618058,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753272256.5429769,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753272259.6864882,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276420.357081,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276422.927356,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276425.18701,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276429.916875,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276434.337398,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276840.107919,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753276843.994123,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753277444.8010411,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753280262.602963,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753282780.833998,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753283356.185365,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283365.728646,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753283935.984287,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283938.469943,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283941.166801,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
3,1753283950.478883,Europe/Paris,instagram,openedApp,False,breathingExercise
3,1753284619.782442,Europe/Paris,instagram,dismissedAppOpening,False,breathingExercise
