app,timestamp,timezone,interventionType,interventionDuration,resolution,isReIntervention
instagram,1751693513.9003181,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751696736.3748431,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751697345.442775,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751700669.367379,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751700902.028582,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751706519.43571,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751724863.324549,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751725780.224872,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751725786.688043,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751725869.635377,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751726045.78581,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751726243.2242541,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751729927.1679292,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751730182.647248,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751733292.1724892,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751734770.5242748,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751737175.974606,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751737953.6958709,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751744351.8089042,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751744354.973244,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751744550.373061,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751744552.309092,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751744602.311243,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751744610.256746,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751744733.793721,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751744785.698619,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751782927.456098,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751783987.881751,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751784194.303561,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751784541.921471,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751784893.2389898,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751789169.7304192,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751789891.368783,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751791491.101386,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751791797.446137,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751791858.080605,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751792612.538929,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751794481.023539,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751794790.261685,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751795583.165206,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751886844.9961991,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751887572.414894,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751887596.302002,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751887690.856503,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751888745.944848,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751889256.5540838,Europe/Berlin,breathingExercise,3,dismissedAppOpening,False
instagram,1751889282.4212708,Europe/Berlin,breathingExercise,3,openedApp,False
instagram,1751889314.0141659,Europe/Berlin,breathingExercise,3,openedApp,False
