interventionDuration,timezone,app,timestamp,timeIntervalUntilReIntervention,resolution,interventionType,isReIntervention
3,Europe/Rome,youtube,1750252365.911088,1680.0,openedApp,askForTimeLimit,False
3,Europe/Rome,youtube,1750413136.914956,,dismissedAppOpening,askForTimeLimit,False
3,Europe/Rome,youtube,1750413142.064259,,dismissedAppOpening,askForTimeLimit,False
3,Europe/Rome,youtube,1750413147.363591,2400.0,openedApp,askForTimeLimit,False
3,Europe/Rome,youtube,1750662773.989733,,dismissedAppOpening,askForTimeLimit,False
3,Europe/Rome,youtube,1750662781.0632548,1200.0,openedApp,askForTimeLimit,False
3,Europe/Rome,youtube,1750680740.273332,1740.0,openedApp,askForTimeLimit,False
3,Europe/Rome,youtube,1750685321.341291,1800.0,openedApp,askForTimeLimit,False
3,Europe/Rome,youtube,1750779693.182745,2280.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751549120.540155,,dismissedAppOpening,askForTimeLimit,False
6,Europe/Rome,youtube,1751549125.2064571,2220.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751549293.1593971,1560.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751633538.8304992,1680.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751634422.456767,1500.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751830095.833531,2040.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751830109.115937,1740.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751830122.131796,1560.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751830865.3933458,1560.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751831126.690695,1500.0,openedApp,askForTimeLimit,False
6,Europe/Rome,youtube,1751831281.2950258,,dismissedAppOpening,askForTimeLimit,False
6,Europe/Rome,youtube,1751831428.5846472,1680.0,openedApp,askForTimeLimit,False
