timezone,timestamp,interventionType,isReIntervention,interventionDuration,resolution,app,purpose
Europe/Zurich,1751196249.6001,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751196271.8365068,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751198557.264247,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751199453.998939,breathingExercise,False,3,openedApp,instagram,Message
Europe/Zurich,1751199470.480689,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751200373.740639,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751202706.000288,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751203535.29196,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751204528.728397,breathingExercise,False,3,openedApp,instagram,Message
Europe/Zurich,1751206527.97599,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751208059.373532,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751208066.818462,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751208925.884644,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751210546.706598,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751210635.913214,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751210741.710266,breathingExercise,False,3,openedApp,instagram,Rester au courant
Europe/Zurich,1751210885.598954,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751211232.3605762,breathingExercise,False,3,openedApp,instagram,Rester au courant
Europe/Zurich,1751214398.963194,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751214829.9310222,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751215006.571286,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751216418.8535361,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751216635.230239,breathingExercise,False,3,openedApp,instagram,Message
Europe/Zurich,1751217135.344451,breathingExercise,False,3,openedApp,tikTok,Se détendre
Europe/Zurich,1751218846.07225,breathingExercise,False,3,openedApp,tikTok,Éviter / Fuir
Europe/Zurich,1751226986.09406,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751227548.0870562,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751227639.110321,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751229119.526291,breathingExercise,False,3,openedApp,instagram,Message
Europe/Zurich,1751229317.414729,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751232033.7716498,breathingExercise,False,3,openedApp,tikTok,Se détendre
Europe/Zurich,1751279319.564681,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751279531.080452,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751279557.8720388,breathingExercise,False,3,openedApp,tikTok,Vérifier les likes
Europe/Zurich,1751279662.172423,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751281323.9587831,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751283979.408597,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751284431.000698,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751284433.711961,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751284713.708065,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751287791.3944979,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751288690.458885,breathingExercise,False,3,openedApp,tikTok,Éviter / Fuir
Europe/Zurich,1751292303.426189,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751292326.151205,breathingExercise,False,3,openedApp,tikTok,Se détendre
Europe/Zurich,1751292950.532548,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751305169.081523,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751315667.344929,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751320391.917482,breathingExercise,False,3,openedApp,instagram,Impossible de s'endormir
Europe/Zurich,1751321693.337373,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751354898.751192,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751356473.0571818,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751363516.497383,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751367069.42272,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751369762.1524792,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751369947.179419,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751375100.089386,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751376184.56565,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751377311.592801,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751377884.683031,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751380468.5907478,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751381831.734102,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751385398.4777231,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751386463.7500482,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751390885.3842092,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751391197.116612,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751392590.512708,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751395261.80268,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751395374.81816,breathingExercise,False,3,openedApp,tikTok,Ennuyé
Europe/Zurich,1751434235.655796,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751479553.384655,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751479585.455945,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751482137.63346,breathingExercise,False,3,openedApp,instagram,Toilettes
Europe/Zurich,1751485262.322171,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751485476.262823,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751488512.9666228,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751527578.384181,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751528690.465888,breathingExercise,False,3,openedApp,instagram,Éviter / Fuir
Europe/Zurich,1751532214.9373941,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751532284.0311332,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751536082.1936998,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751537100.988152,breathingExercise,False,3,openedApp,tikTok,Toilettes
Europe/Zurich,1751537707.426178,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751541253.0401049,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751541270.08498,breathingExercise,False,3,dismissedAppOpening,tikTok,
Europe/Zurich,1751541272.9575582,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751542658.88652,breathingExercise,False,3,openedApp,instagram,Divertissement
Europe/Zurich,1751542681.996005,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751543273.210293,breathingExercise,False,3,openedApp,tikTok,Éviter / Fuir
Europe/Zurich,1751547519.4236379,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751551859.797276,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751551877.529832,breathingExercise,False,3,dismissedAppOpening,instagram,
Europe/Zurich,1751552961.526906,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751553033.201973,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751557038.2342482,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751557129.5576138,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751557182.595237,breathingExercise,False,3,openedApp,tikTok,Divertissement
Europe/Zurich,1751557642.182986,breathingExercise,False,3,openedApp,tikTok,Vérifier les likes
Europe/Zurich,1751558050.55074,breathingExercise,False,3,openedApp,tikTok,Divertissement
