isReIntervention,timestamp,interventionType,app,resolution,interventionDuration,timezone,purpose
False,1752725211.647242,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752725222.894127,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752725237.907887,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752725320.4250278,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752727164.862451,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752727448.1983938,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752727613.124608,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752727723.779356,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752727785.665484,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752728438.656351,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752730134.689522,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752756506.503286,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752758932.29081,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752759391.143709,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752759670.062242,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752759993.247997,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752764331.9737139,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752764504.14026,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752764701.2626228,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752766239.123374,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752766964.865679,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752767700.0285912,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752768213.0730162,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752771076.060729,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752774049.59837,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752774420.970662,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752774460.6855412,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752780077.478111,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752780086.859621,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752784842.645257,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752790559.073432,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752790565.532133,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752798232.6488261,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752800256.179223,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752800509.093398,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
False,1752801013.441041,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752803413.1450958,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752803426.132426,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752813952.8440719,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752813975.417183,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752813978.554085,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752813980.9924068,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752813984.362585,breathingExercise,facebook,dismissedAppOpening,3,America/Los_Angeles,
False,1752814025.6436172,breathingExercise,facebook,openedApp,3,America/Los_Angeles,Stay In the Loop
