isReIntervention,timezone,app,interventionDuration,resolution,timestamp,interventionType
False,America/Mexico_City,tikTok,3,openedApp,1749349194.111218,breathingExercise
False,America/Mexico_City,tikTok,3,dismissedAppOpening,1749350583.950863,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749354444.960115,breathingExercise
False,America/Mexico_City,tikTok,3,dismissedAppOpening,1749354510.4846659,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749361969.475707,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749427098.890161,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749437268.2345738,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749570216.068416,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749571991.856913,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749587836.9315162,breathingExercise
False,America/Mexico_City,tikTok,3,dismissedAppOpening,1749589304.227602,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749602361.813355,breathingExercise
False,America/Mexico_City,tikTok,3,dismissedAppOpening,1749602898.537074,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749602907.6553922,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749670861.56059,breathingExercise
False,America/Mexico_City,tikTok,3,dismissedAppOpening,1749671107.415595,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749671134.3717299,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749671250.750475,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749693491.163909,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749740723.7093592,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749740776.527662,breathingExercise
False,America/Mexico_City,tikTok,3,dismissedAppOpening,1749754972.829644,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749754982.005221,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749756432.0851622,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749873344.4359698,breathingExercise
False,America/Mexico_City,tikTok,3,openedApp,1749927411.5856872,breathingExercise
