resolution,timezone,app,isReIntervention,interventionDuration,interventionType,timestamp,purpose,timeIntervalUntilReIntervention
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748373273.946948,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748373282.925963,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748373865.1780849,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748373866.006674,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748373867.9206982,,
openedApp,Europe/Zurich,youtube,False,3.0,breathingExercise,1748378617.4927049,Langeweile,60.0
closedApp,Europe/Zurich,youtube,False,,,1748378651.200587,,
closedApp,Europe/Zurich,youtube,False,,,1748378704.954618,,
openedApp,Europe/Zurich,youtube,True,3.0,breathingExercise,1748378720.275852,Langeweile,60.0
closedApp,Europe/Zurich,youtube,False,,,1748378757.89901,,
dismissedAppOpening,Europe/Zurich,zyngaPoker,False,3.0,breathingExercise,1748379850.385308,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748379930.9234009,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748380249.228406,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748380823.2393231,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748380833.903723,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748380847.0656319,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748380861.9583812,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748382128.163357,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748408790.274744,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748408962.602999,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748409286.141862,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748412026.8846822,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748412029.059828,,
dismissedAppOpening,Europe/Zurich,instagram,False,3.0,breathingExercise,1748412031.03655,,
