interventionType,timezone,app,timestamp,interventionDuration,resolution,isReIntervention,purpose
breathingExercise,Europe/London,instagram,1753699173.4501119,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753701669.37692,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753701682.5365338,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753701719.700883,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753702058.178535,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753703788.9418721,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753704762.871002,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753706374.317914,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753708295.021374,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753708951.165032,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753709519.3773432,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753709537.452011,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753710282.0866919,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753711529.690141,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753713124.064353,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753713837.785903,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753717211.211536,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753717386.453366,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753717541.7755241,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753717962.946898,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753718069.700264,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753718217.445467,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753719191.836197,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753719648.123996,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753720174.7270288,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753720179.5628638,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753720183.63201,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753720655.752814,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753721947.036308,3,openedApp,False,Message
breathingExercise,Europe/London,instagram,1753722443.499821,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753722473.875726,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753723365.1254911,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753723584.817212,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753723844.442903,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753723857.1844602,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753725226.536199,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753726891.878309,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753726896.503209,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753727657.576137,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753728811.410478,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753731302.141982,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753809254.951147,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753809274.9550018,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753810536.6322942,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753811322.257985,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753811822.4908972,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753811954.966603,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753812290.4909701,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753812347.845371,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753816144.53889,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753818021.587576,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753818046.744718,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753818327.20574,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753818472.6620588,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753818523.204957,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753820227.760975,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753821254.2530189,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753822481.9194689,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753824377.1656508,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753825184.0764132,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753825283.0659242,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753826527.6107469,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753828689.804442,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753843965.7782211,3,openedApp,False,Message
breathingExercise,Europe/London,instagram,1753844311.9638991,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753844342.201874,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753844381.786006,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753844475.448848,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753845004.798167,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753845231.14251,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753845435.368631,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753845548.777622,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753845878.684699,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753845985.5993118,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753860322.833307,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753860338.123999,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753864756.518309,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753867457.799834,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753871558.097148,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753873450.097986,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753873465.66364,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753874387.972221,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753875085.492859,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753875525.2270842,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753875807.759153,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753876252.41745,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753876320.7850819,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753876331.027927,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753880386.940495,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753881507.80545,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753884487.074798,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753884549.511802,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753884631.3302069,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753885608.415046,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753886098.471719,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753886120.9368649,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753887370.636417,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753888271.807781,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753889170.498825,3,dismissedAppOpening,False,
breathingExercise,Europe/London,instagram,1753889192.460105,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753889855.322057,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753890473.385627,3,openedApp,False,Stay In the Loop
breathingExercise,Europe/London,instagram,1753890630.358238,3,openedApp,False,Stay In the Loop
