app,timezone,isReIntervention,interventionType,interventionDuration,timestamp,resolution,timeIntervalUntilReIntervention,purpose
instagram,Europe/Paris,False,breathingExercise,3.0,1753543261.764377,dismissedAppOpening,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753543275.917973,openedApp,60.0,Buscar info
instagram,Europe/Paris,False,breathingExercise,3.0,1753543510.466716,dismissedAppOpening,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753543539.9563851,dismissedAppOpening,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753543547.1623921,dismissedAppOpening,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753543592.091198,dismissedAppOpening,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753543619.647925,dismissedAppOpening,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753544823.6504889,openedApp,,Aburrido
instagram,Europe/Paris,False,,,1753544873.7034411,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753544893.878166,openedApp,,Mantente Informado
instagram,Europe/Paris,False,breathingExercise,3.0,1753550448.814849,openedApp,,Mensaje
instagram,Europe/Paris,False,,,1753545087.210753,closedApp,,
instagram,Europe/Paris,False,,,1753547214.614219,closedApp,,
instagram,Europe/Paris,False,,,1753550476.947303,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753551692.1336222,openedApp,,Aburrido
instagram,Europe/Paris,False,,,1753551823.903006,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753552764.6283221,openedApp,,Aburrido
instagram,Europe/Paris,False,,,1753552828.2675881,closedApp,,
instagram,Europe/Paris,False,,,1753552893.2009702,closedApp,,
instagram,Europe/Paris,False,,,1753553211.080553,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753555260.790896,openedApp,,Mensaje
instagram,Europe/Paris,False,,,1753555292.4702091,closedApp,,
instagram,Europe/Paris,False,,,1753555377.738539,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753555941.023715,openedApp,,Aburrido
instagram,Europe/Paris,False,,,1753555959.933866,closedApp,,
instagram,Europe/Paris,False,,,1753556141.129621,closedApp,,
instagram,Europe/Paris,False,,,1753556570.651613,closedApp,,
youtube,Europe/Paris,False,breathingExercise,3.0,1753556679.8331199,openedApp,60.0,Aburrido
youtube,Europe/Paris,False,breathingExercise,3.0,1753556773.948318,openedApp,,Aburrido
instagram,Europe/Paris,False,breathingExercise,3.0,1753560549.939568,openedApp,,Mensaje
instagram,Europe/Paris,False,,,1753560859.686274,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753562766.85059,openedApp,,Revisar me gusta
instagram,Europe/Paris,False,,,1753563084.6172361,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753571290.071135,openedApp,,Aburrido
instagram,Europe/Paris,False,,,1753571521.4472551,closedApp,,
instagram,Europe/Paris,False,,,1753572942.292731,closedApp,,
youtube,Europe/Paris,False,breathingExercise,3.0,1753572959.743923,openedApp,,Entretenimiento
instagram,Europe/Paris,False,breathingExercise,3.0,1753575370.5833158,openedApp,,Obsesionarse con un crush
instagram,Europe/Paris,False,,,1753575481.1169581,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753603728.344125,openedApp,,Mensaje
instagram,Europe/Paris,False,,,1753604039.267473,closedApp,,
youtube,Europe/Paris,False,breathingExercise,3.0,1753604051.367641,openedApp,,Mantente Informado
instagram,Europe/Paris,False,,,1753604319.637127,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753606824.8063211,openedApp,,Revisar me gusta
instagram,Europe/Paris,False,,,1753606867.797744,closedApp,,
instagram,Europe/Paris,False,breathingExercise,3.0,1753607493.395133,openedApp,,Mensaje
instagram,Europe/Paris,False,,,1753607516.370623,closedApp,,
instagram,Europe/Paris,False,,,1753608019.33265,closedApp,,
