interventionDuration,resolution,isReIntervention,timezone,app,timestamp,interventionType,timeIntervalUntilReIntervention
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749224370.339995,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749224418.4502811,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749227127.909799,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749227341.767541,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749227365.7886338,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749227401.861731,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749227774.615042,breathingExercise,600.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749228080.052813,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749228488.946176,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749230372.0828009,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232005.946535,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232022.556542,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232703.421473,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232887.857099,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232899.417671,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232900.901283,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232902.793829,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749232912.68032,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749234618.567164,breathingExercise,300.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749234767.9023108,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749238235.030961,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749238237.3276448,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749238239.4439812,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749240516.747353,breathingExercise,900.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749240775.83111,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749242598.902791,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749287529.5631552,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749287776.42025,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749288705.6052852,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749288976.528764,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749289173.055739,breathingExercise,900.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749289428.947881,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749289444.112802,breathingExercise,900.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749289889.0109038,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749289905.4738932,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749291045.377296,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749291647.569038,breathingExercise,900.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749291923.371159,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749293668.1961908,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749294593.346589,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749296794.5878391,breathingExercise,600.0
3,openedApp,False,Europe/Zurich,tikTok,1749299365.932757,breathingExercise,300.0
3,openedApp,False,Europe/Zurich,tikTok,1749299663.3852139,breathingExercise,480.0
3,openedApp,False,Europe/Zurich,tikTok,1749300161.874395,breathingExercise,900.0
3,openedApp,False,Europe/Zurich,tikTok,1749301612.984631,breathingExercise,900.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749303619.320509,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749303671.4776502,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749303689.42435,breathingExercise,420.0
3,openedApp,False,Europe/Zurich,tikTok,1749304713.641799,breathingExercise,240.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749306302.665149,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749306662.2286968,breathingExercise,600.0
3,openedApp,False,Europe/Zurich,tikTok,1749306960.121315,breathingExercise,300.0
3,openedApp,False,Europe/Zurich,tikTok,1749307279.305929,breathingExercise,180.0
3,openedApp,False,Europe/Zurich,tikTok,1749308760.097182,breathingExercise,600.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749309205.37272,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749309208.7104669,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749309801.5937052,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749311635.931848,breathingExercise,300.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749311997.903336,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749312012.856571,breathingExercise,420.0
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313225.887702,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313250.852644,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313265.771215,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313280.886503,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313293.604927,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313316.624967,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313337.899483,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313378.299899,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313385.846211,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749313454.983934,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313469.071384,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313478.7840772,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749313495.627675,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749313705.8512878,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749314525.383645,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749314602.42385,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749314680.245918,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749314911.62504,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749314920.643184,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749315561.688321,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749316036.908846,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749318151.8118138,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749318153.888603,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749319420.8604941,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749320219.1605392,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749328707.96096,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749328947.192498,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749331119.400388,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749331127.255342,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749331638.6696038,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749333544.3210468,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749335721.8218431,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749336937.2501569,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749372887.3611898,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749373384.914561,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749374449.5470738,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749374910.1821,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749375817.622663,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749376076.936625,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749376972.058568,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749378321.465224,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749378404.571357,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749379026.776196,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749380126.216752,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749380137.4934049,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749382460.844893,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749382609.205264,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749382710.76614,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749382902.004321,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749384507.2226129,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749387435.003396,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749392863.3996801,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749396895.8883739,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749397489.288295,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749400505.963739,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749400712.13536,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749402199.470792,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749405164.654492,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749405175.7207441,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749405535.91063,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749406717.035322,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749406858.732197,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749406896.2483659,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749407097.8687081,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749407507.6109018,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749408649.867811,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749409642.3441281,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749419119.74514,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749419128.159338,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749420478.402734,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749422848.693994,breathingExercise,
3,dismissedAppOpening,False,Europe/Zurich,tikTok,1749422888.2690492,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749422979.248631,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749423379.262286,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749452487.146045,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749452552.215279,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749453507.1302981,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749454956.153988,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749458216.745374,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749461329.492004,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749461870.063832,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749462049.805429,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749462229.930727,breathingExercise,
3,openedApp,False,Europe/Zurich,tikTok,1749463187.771487,breathingExercise,
