timezone,interventionType,resolution,interventionDuration,app,timestamp,isReIntervention
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750700389.083033,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750701145.228096,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750701276.6715178,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750701287.708292,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750701822.456012,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750702514.25436,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750704720.416831,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750705219.801266,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750705738.5087519,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750705990.2201738,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750707452.3856912,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750707509.530848,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750707514.618283,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750750275.062844,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750751099.822968,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750751322.546925,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750751337.4749498,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750751709.617662,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750779423.740504,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750779865.742801,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750780690.0574632,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750781266.315405,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750784057.377538,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750787120.969545,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750789548.387373,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750790545.01726,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750812785.387985,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750826740.335206,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750827414.193949,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750827425.596015,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750828924.649903,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750829376.8901339,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750829550.03373,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750829552.795584,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750829584.354549,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750831216.400562,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750831867.291558,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750861470.583348,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750866764.660584,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750870901.752664,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750870913.332624,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750877687.429191,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750894433.345514,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750896744.445674,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750897749.850541,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750901147.8939052,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750903255.8720431,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750905974.6372728,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750909335.359861,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750911611.093991,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750950156.4972858,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750954508.967901,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750955179.1898232,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750955431.028716,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750958027.237448,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750963333.5012221,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750963877.61087,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750966757.072682,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750966806.614593,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750967181.8230991,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750967446.573151,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750968135.052593,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750969353.7886682,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750969360.165415,False
America/Mexico_City,breathingExercise,dismissedAppOpening,3,tikTok,1750969371.177446,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750969759.3697848,False
America/Mexico_City,breathingExercise,openedApp,3,tikTok,1750970338.4561238,False
