interventionType,resolution,timestamp,isReIntervention,interventionDuration,app,timezone,purpose
breathingExercise,dismissedAppOpening,1752607181.5051122,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752607279.206281,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752607284.5424361,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752607770.650245,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752609465.412877,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752609708.3443499,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752617977.792609,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752619652.962703,False,3.0,instagram,America/New_York,
breathingExercise,openedApp,1752620104.050408,False,3.0,instagram,America/New_York,Entertainment
breathingExercise,dismissedAppOpening,1752629112.579186,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752629114.054885,False,3.0,instagram,America/New_York,
,closedApp,1752620201.913405,False,,instagram,America/New_York,
,closedApp,1752620261.607887,False,,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752663648.6229382,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752663719.755756,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752664308.6833029,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752664310.2728639,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752664663.075711,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752664665.4808059,False,3.0,instagram,America/New_York,
breathingExercise,openedApp,1752674799.653342,False,3.0,instagram,America/New_York,Stay In the Loop
,closedApp,1752674995.959862,False,,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752678029.889046,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752678221.967593,False,3.0,instagram,America/New_York,
breathingExercise,dismissedAppOpening,1752683320.46355,False,3.0,instagram,America/New_York,
breathingExercise,openedApp,1752688297.574369,False,3.0,instagram,America/New_York,Search Info
,closedApp,1752688588.396992,False,,instagram,America/New_York,
,closedApp,1752688628.486927,False,,instagram,America/New_York,
,closedApp,1752688997.4935,False,,instagram,America/New_York,
,closedApp,1752689333.045712,False,,instagram,America/New_York,
,closedApp,1752689739.541556,False,,instagram,America/New_York,
