interventionType,isReIntervention,resolution,app,timestamp,interventionDuration,timezone
breathingExercise,False,dismissedAppOpening,snapchat,1753202507.6015692,3,Europe/Berlin
breathingExercise,False,dismissedAppOpening,snapchat,1753206092.467894,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753207495.8927689,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753281863.80583,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753281899.2862139,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753466449.534308,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753562830.449772,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753646704.472075,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753802294.760682,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753802985.7902741,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1753900224.21468,3,Europe/Berlin
breathingExercise,False,openedApp,snapchat,1754050237.597188,3,Europe/Berlin
