interventionDuration,resolution,timestamp,isReIntervention,app,timezone,interventionType,purpose,timeIntervalUntilReIntervention
3,dismissedAppOpening,1750266163.263976,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750285447.372168,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750288912.024444,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,dismissedAppOpening,1750290417.273003,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750290627.952057,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750305337.062567,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750305445.243593,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750305928.717905,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750343774.0175672,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750347714.530912,False,instagram,America/Chicago,breathingExercise,Toilet,
3,dismissedAppOpening,1750355395.186094,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750355799.670889,False,instagram,America/Chicago,breathingExercise,Toilet,
3,openedApp,1750364081.586609,False,instagram,America/Chicago,breathingExercise,Toilet,
3,dismissedAppOpening,1750364903.039026,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750366271.0071058,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750379320.559657,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750379491.608015,False,instagram,America/Chicago,breathingExercise,Toilet,
3,openedApp,1750387530.05236,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750389547.792768,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750394402.170138,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,dismissedAppOpening,1750424625.642282,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750426417.03373,False,instagram,America/Chicago,breathingExercise,Search Info,
3,openedApp,1750440034.917501,False,instagram,America/Chicago,breathingExercise,Toilet,
3,openedApp,1750446748.642618,False,instagram,America/Chicago,breathingExercise,Message,
3,dismissedAppOpening,1750452470.322618,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750452633.010057,False,instagram,America/Chicago,breathingExercise,Toilet,
3,openedApp,1750453067.5126739,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750453408.512516,False,instagram,America/Chicago,breathingExercise,Message,
3,dismissedAppOpening,1750453706.343291,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750456613.353489,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750461263.074506,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750463157.121439,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750470303.384815,False,instagram,America/Chicago,breathingExercise,Search Info,
3,openedApp,1750475028.789573,False,instagram,America/Chicago,breathingExercise,Search Info,
3,openedApp,1750475680.456331,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750476829.737352,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750477681.977452,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750482426.4867048,False,instagram,America/Chicago,breathingExercise,Escape / Avoid,
3,openedApp,1750482467.862143,False,instagram,America/Chicago,breathingExercise,Escape / Avoid,
3,openedApp,1750482497.5339708,False,instagram,America/Chicago,breathingExercise,Escape / Avoid,
3,dismissedAppOpening,1750483109.3423991,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750511758.0962949,False,instagram,America/Chicago,breathingExercise,Message,
3,dismissedAppOpening,1750511970.113733,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750512834.905445,False,instagram,America/Chicago,breathingExercise,Check likes,
3,openedApp,1750526079.137364,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750526129.3636541,False,instagram,America/Chicago,breathingExercise,Message,
3,dismissedAppOpening,1750526211.517364,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750526236.5031052,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750526456.087419,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750526708.330962,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750527150.790972,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750527820.9054441,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750527960.9574962,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750536383.954163,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750547024.7002912,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750547125.4386601,False,instagram,America/Chicago,breathingExercise,Message,
3,openedApp,1750547394.851684,False,instagram,America/Chicago,breathingExercise,Toilet,
3,openedApp,1750547650.944611,False,instagram,America/Chicago,breathingExercise,Toilet,
3,dismissedAppOpening,1750552730.283154,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750553289.240346,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750554278.1965961,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750556531.7861671,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750559618.171485,False,instagram,America/Chicago,breathingExercise,Stalk crush,
3,dismissedAppOpening,1750561916.606859,False,instagram,America/Chicago,breathingExercise,,
3,dismissedAppOpening,1750561931.9709702,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750561949.384519,False,instagram,America/Chicago,breathingExercise,Search Info,
3,openedApp,1750563466.649946,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750563663.476769,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750564648.2952871,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,dismissedAppOpening,1750564674.149483,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750565998.0176349,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750567814.143986,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750568363.4494739,False,instagram,America/Chicago,breathingExercise,Stalk crush,
3,openedApp,1750568925.495662,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750569282.077969,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750569383.332182,False,instagram,America/Chicago,breathingExercise,Entertainment,
3,openedApp,1750569522.900883,False,instagram,America/Chicago,breathingExercise,Entertainment,300.0
3,dismissedAppOpening,1750569851.454445,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750570023.625492,False,instagram,America/Chicago,breathingExercise,Entertainment,2700.0
3,dismissedAppOpening,1750570092.212163,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750570114.74492,False,instagram,America/Chicago,breathingExercise,Entertainment,2700.0
3,dismissedAppOpening,1750598602.495932,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750601278.866322,False,instagram,America/Chicago,breathingExercise,Stalk crush,2700.0
3,dismissedAppOpening,1750603160.5236878,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750603179.542866,False,instagram,America/Chicago,breathingExercise,Entertainment,1200.0
3,openedApp,1750605971.354828,False,instagram,America/Chicago,breathingExercise,Message,360.0
3,openedApp,1750623114.1803799,False,instagram,America/Chicago,breathingExercise,Message,180.0
3,openedApp,1750631422.3699222,False,instagram,America/Chicago,breathingExercise,Entertainment,540.0
3,openedApp,1750646254.435524,False,instagram,America/Chicago,breathingExercise,Toilet,600.0
3,openedApp,1750650245.885707,False,instagram,America/Chicago,breathingExercise,Relax,2700.0
3,openedApp,1750651826.174649,False,instagram,America/Chicago,breathingExercise,Relax,1200.0
3,dismissedAppOpening,1750652747.364933,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750683681.1609201,False,instagram,America/Chicago,breathingExercise,Toilet,600.0
3,openedApp,1750698876.551657,False,instagram,America/Chicago,breathingExercise,Message,360.0
3,openedApp,1750711783.603756,False,instagram,America/Chicago,breathingExercise,Message,600.0
3,openedApp,1750737432.347455,False,instagram,America/Chicago,breathingExercise,Relax,2040.0
3,openedApp,1750738068.015226,False,instagram,America/Chicago,breathingExercise,Relax,1380.0
3,openedApp,1750769321.051978,True,instagram,America/Chicago,breathingExercise,Toilet,420.0
3,dismissedAppOpening,1750769820.192222,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750774381.393795,False,instagram,America/Chicago,breathingExercise,Toilet,300.0
3,openedApp,1750781181.910985,False,instagram,America/Chicago,breathingExercise,Message,300.0
3,openedApp,1750783933.95734,False,instagram,America/Chicago,breathingExercise,Toilet,480.0
3,dismissedAppOpening,1750789926.035349,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750816664.452589,False,instagram,America/Chicago,breathingExercise,Message,480.0
3,openedApp,1750817301.5759711,True,instagram,America/Chicago,breathingExercise,Entertainment,300.0
3,openedApp,1750817680.789068,False,instagram,America/Chicago,breathingExercise,Entertainment,300.0
3,openedApp,1750818070.738931,True,instagram,America/Chicago,breathingExercise,Entertainment,420.0
3,dismissedAppOpening,1750819444.8493629,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750820790.462609,False,instagram,America/Chicago,breathingExercise,Message,240.0
3,dismissedAppOpening,1750822713.976522,False,instagram,America/Chicago,breathingExercise,,
3,openedApp,1750825526.4824538,False,instagram,America/Chicago,breathingExercise,Message,300.0
3,openedApp,1750825853.325316,False,instagram,America/Chicago,breathingExercise,Entertainment,2700.0
3,openedApp,1750826801.255888,False,instagram,America/Chicago,breathingExercise,Entertainment,420.0
3,openedApp,1750827617.190531,False,instagram,America/Chicago,breathingExercise,Entertainment,2700.0
3,openedApp,1750829002.11218,False,instagram,America/Chicago,breathingExercise,Relax,1320.0
