interventionDuration,timestamp,app,isReIntervention,interventionType,resolution,timezone
3,1753268620.5352921,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753271990.554514,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753272462.378716,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753272463.4348102,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753276048.502665,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753276281.1518779,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753277546.226439,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753283074.801939,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753283236.232274,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753284705.706191,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753284977.642209,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753284989.351716,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753285829.1840448,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753288185.55969,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753291196.964366,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753295550.799868,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753296267.434535,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753296953.722075,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753297090.061197,tikTok,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753297409.27197,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753299138.7798,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753300060.0187979,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753300230.189077,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753300232.152093,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753300241.016931,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753300603.4210858,tikTok,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753300621.244195,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753301612.7492309,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753302105.3743439,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753302113.8090858,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753304974.608755,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753306264.558258,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753306856.689317,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753306865.1803389,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753330228.728378,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753334397.229485,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753335489.8834329,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753337730.835098,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753342609.2575321,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753342806.409319,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753348766.7460651,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753348824.402762,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753351634.1414819,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753352926.969347,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753356594.315521,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753360299.355174,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753360784.6908221,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753366475.3261309,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753366585.698734,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753367179.05973,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753372159.362037,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753373034.529146,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753373379.177954,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753379272.468209,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753380263.18976,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753381006.8626451,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753381115.647245,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753381139.085777,tikTok,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753381207.648648,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753383723.196147,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753397150.468061,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753399839.662633,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753402992.644424,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753403618.665946,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753403632.669071,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753404231.8349319,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753404665.379494,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753425618.560581,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753434685.93372,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753434939.561473,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753435047.8407521,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753441005.606533,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753441139.7356482,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753441972.196651,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753442036.849028,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753442931.078587,instagram,False,breathingExercise,openedApp,Europe/Berlin
3,1753443000.59485,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753443393.190939,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753443400.686492,tikTok,False,breathingExercise,openedApp,Europe/Berlin
3,1753443725.382299,instagram,False,breathingExercise,dismissedAppOpening,Europe/Berlin
3,1753444159.45886,tikTok,False,breathingExercise,openedApp,Europe/Berlin
