interventionDuration,resolution,app,interventionType,timezone,isReIntervention,timestamp
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1752962785.595011
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1752962797.777543
3,openedApp,instagram,breathingExercise,America/New_York,False,1752985945.8469071
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1752988735.965776
3,openedApp,instagram,breathingExercise,America/New_York,False,1753026104.519258
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753026642.543813
3,openedApp,instagram,breathingExercise,America/New_York,False,1753038333.887584
3,openedApp,instagram,breathingExercise,America/New_York,False,1753047942.922502
3,openedApp,instagram,breathingExercise,America/New_York,False,1753048027.2284
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753048148.917037
3,openedApp,instagram,breathingExercise,America/New_York,False,1753048176.191699
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753060657.190146
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753060676.4873981
3,openedApp,instagram,breathingExercise,America/New_York,False,1753063121.180562
3,openedApp,instagram,breathingExercise,America/New_York,False,1753100665.087182
3,openedApp,instagram,breathingExercise,America/New_York,False,1753114346.7061539
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753114512.317877
3,openedApp,instagram,breathingExercise,America/New_York,False,1753122186.0375
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753145938.940902
3,openedApp,instagram,breathingExercise,America/New_York,False,1753145947.424531
3,openedApp,instagram,breathingExercise,America/New_York,False,1753149256.396312
3,openedApp,instagram,breathingExercise,America/New_York,False,1753155230.518281
3,openedApp,instagram,breathingExercise,America/New_York,False,1753191140.388927
3,openedApp,instagram,breathingExercise,America/New_York,False,1753224309.933583
3,openedApp,instagram,breathingExercise,America/New_York,False,1753224390.502816
3,openedApp,instagram,breathingExercise,America/New_York,False,1753224806.531291
3,openedApp,instagram,breathingExercise,America/New_York,False,1753241898.802003
3,openedApp,instagram,breathingExercise,America/New_York,False,1753243067.922153
3,openedApp,instagram,breathingExercise,America/New_York,False,1753272283.516093
3,openedApp,instagram,breathingExercise,America/New_York,False,1753275435.354151
3,openedApp,instagram,breathingExercise,America/New_York,False,1753304010.674989
3,openedApp,instagram,breathingExercise,America/New_York,False,1753324957.806443
3,openedApp,instagram,breathingExercise,America/New_York,False,1753334968.5372338
3,openedApp,instagram,breathingExercise,America/New_York,False,1753336572.410898
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753369790.114757
3,openedApp,instagram,breathingExercise,America/New_York,False,1753384422.9478378
3,openedApp,instagram,breathingExercise,America/New_York,False,1753393233.873244
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753393608.405912
3,openedApp,instagram,breathingExercise,America/New_York,False,1753408239.406219
3,openedApp,instagram,breathingExercise,America/New_York,False,1753415899.307553
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753416158.1154451
3,openedApp,instagram,breathingExercise,America/New_York,False,1753416170.530998
3,openedApp,instagram,breathingExercise,America/New_York,False,1753416736.42169
3,openedApp,instagram,breathingExercise,America/New_York,False,1753456866.89691
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753480091.753113
3,openedApp,instagram,breathingExercise,America/New_York,False,1753480106.966088
3,openedApp,instagram,breathingExercise,America/New_York,False,1753480180.477552
3,openedApp,instagram,breathingExercise,America/New_York,False,1753483069.3659182
3,openedApp,instagram,breathingExercise,America/New_York,False,1753483576.086066
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753491782.173668
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753530261.612427
3,openedApp,instagram,breathingExercise,America/New_York,False,1753530270.9478421
3,openedApp,instagram,breathingExercise,America/New_York,False,1753552610.3414578
3,openedApp,instagram,breathingExercise,America/New_York,False,1753552885.956234
3,openedApp,instagram,breathingExercise,America/New_York,False,1753563237.350982
3,openedApp,instagram,breathingExercise,America/New_York,False,1753618787.967006
3,openedApp,instagram,breathingExercise,America/New_York,False,1753626894.9336739
3,openedApp,instagram,breathingExercise,America/New_York,False,1753627815.139491
3,openedApp,instagram,breathingExercise,America/New_York,False,1753641304.99726
3,openedApp,instagram,breathingExercise,America/New_York,False,1753641899.237839
3,openedApp,instagram,breathingExercise,America/New_York,False,1753644912.1369128
3,openedApp,instagram,breathingExercise,America/New_York,False,1753656807.1166859
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753664336.3202019
3,openedApp,instagram,breathingExercise,America/New_York,False,1753667263.7806091
3,openedApp,instagram,breathingExercise,America/New_York,False,1753702009.855661
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753716853.170542
3,openedApp,instagram,breathingExercise,America/New_York,False,1753729467.953165
3,openedApp,instagram,breathingExercise,America/New_York,False,1753733549.688626
3,openedApp,instagram,breathingExercise,America/New_York,False,1753765247.696179
3,openedApp,instagram,breathingExercise,America/New_York,False,1753788750.624187
3,openedApp,instagram,breathingExercise,America/New_York,False,1753811896.021634
3,openedApp,instagram,breathingExercise,America/New_York,False,1753816757.787397
3,openedApp,instagram,breathingExercise,America/New_York,False,1753828248.415217
3,openedApp,instagram,breathingExercise,America/New_York,False,1753877051.8237271
3,openedApp,instagram,breathingExercise,America/New_York,False,1753898621.571094
3,openedApp,instagram,breathingExercise,America/New_York,False,1753899971.546071
3,openedApp,instagram,breathingExercise,America/New_York,False,1753913538.984808
3,openedApp,instagram,breathingExercise,America/New_York,False,1753918296.4973412
3,openedApp,instagram,breathingExercise,America/New_York,False,1753930826.250783
3,openedApp,instagram,breathingExercise,America/New_York,False,1753931071.0104542
3,openedApp,instagram,breathingExercise,America/New_York,False,1753964709.3825521
3,openedApp,instagram,breathingExercise,America/New_York,False,1753973756.682073
3,openedApp,instagram,breathingExercise,America/New_York,False,1753984339.91017
3,openedApp,instagram,breathingExercise,America/New_York,False,1753988172.680904
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1753999640.2060719
3,openedApp,instagram,breathingExercise,America/New_York,False,1754001820.006393
3,openedApp,instagram,breathingExercise,America/New_York,False,1754002199.171114
3,openedApp,instagram,breathingExercise,America/New_York,False,1754052664.033546
3,openedApp,instagram,breathingExercise,America/New_York,False,1754054178.161213
3,openedApp,instagram,breathingExercise,America/New_York,False,1754061800.687549
3,openedApp,instagram,breathingExercise,America/New_York,False,1754065777.166847
3,openedApp,instagram,breathingExercise,America/New_York,False,1754066738.171002
3,openedApp,instagram,breathingExercise,America/New_York,False,1754086672.6193628
3,dismissedAppOpening,instagram,breathingExercise,America/New_York,False,1754086789.94179
3,openedApp,instagram,breathingExercise,America/New_York,False,1754086799.887008
3,openedApp,instagram,breathingExercise,America/New_York,False,1754096874.060732
3,openedApp,instagram,breathingExercise,America/New_York,False,1754105656.989353
3,openedApp,instagram,breathingExercise,America/New_York,False,1754107699.925343
3,openedApp,instagram,breathingExercise,America/New_York,False,1754140311.7985969
6,openedApp,instagram,breathingExercise,America/New_York,False,1754218435.10026
6,openedApp,instagram,breathingExercise,America/New_York,False,1754222037.5181289
6,openedApp,instagram,breathingExercise,America/New_York,False,1754231568.570574
6,openedApp,instagram,breathingExercise,America/New_York,False,1754255321.223256
