timestamp,resolution,timezone,app,interventionType,interventionDuration,isReIntervention
1751390556.685062,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751390571.5820332,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751391438.330089,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751393398.477916,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751395511.895124,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751397741.239152,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751431755.4708772,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751434702.777612,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751446186.6671262,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751446203.938663,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751446392.4052482,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751448087.985681,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751450442.4930081,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751450450.790811,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751451221.910654,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751451224.4885511,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751451226.815269,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751451228.704475,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751452015.648413,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751453211.139402,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751453223.029917,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751454883.938576,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751455585.84512,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751456284.0212,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751456285.644207,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751456288.218652,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751456301.078141,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751457442.26355,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751457663.316303,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751457763.2280068,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751459996.819889,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751460009.122353,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751463007.672305,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751466403.3618789,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751471821.453062,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751477866.8966331,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751478768.6023788,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751478776.244412,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751480191.159401,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751481860.4502811,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751483598.6463819,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751483746.478585,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751517269.847775,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751522642.1518621,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751525356.086586,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751525359.456757,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751525381.378693,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751525513.972588,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751525921.4771,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751532388.967085,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751532586.424762,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751545292.086111,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751545302.544816,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751545603.625495,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751545879.958806,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751551930.556263,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751551987.64122,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751552161.705667,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751552874.732681,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751553821.391611,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751553829.0687861,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751553854.0299501,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751555320.806678,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751555551.668977,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751555971.623538,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751557000.872308,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751557003.393069,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751558389.882107,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751562432.3868809,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751562924.898206,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751562927.3749828,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751562929.260983,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751562930.681065,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751562932.824872,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751564899.905706,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751564907.171726,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751565056.014656,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751566546.2294989,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751566683.553516,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751566845.434658,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751569789.005621,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751603943.066509,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751604501.182279,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751607369.226942,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751608142.037144,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751608152.88168,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751621313.8723512,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751627194.8062968,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751627210.143495,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751629051.099389,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751629150.300777,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751629768.3472629,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751629777.970065,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751630792.7484322,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751632650.895191,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751632666.121711,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751635355.599293,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751635375.9623752,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751635599.6981912,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751635798.2283568,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751643021.7055368,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751643352.029471,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751643994.13957,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751645090.927895,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751647948.67714,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751648136.062088,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751663708.061964,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751663769.219054,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751663821.1920261,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751663942.904568,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751663946.348991,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751664020.474422,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751664591.730906,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751665155.0045152,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751665275.475765,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751666621.817772,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751667746.0231671,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751667919.907201,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751668089.6021252,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751701483.4441972,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751701505.839675,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751701811.506647,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751701856.046386,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751701934.681684,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751702131.730153,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751702616.481408,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751706167.633288,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751709160.205987,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751712862.96165,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751713772.460289,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751713838.483691,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751714691.984664,dismissedAppOpening,Europe/Luxembourg,instagram,breathingExercise,3,False
1751714879.087044,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751717633.0532699,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751717814.497608,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751720374.713602,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751721614.176364,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751722130.331259,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751724782.853842,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751729926.1466331,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751730040.922279,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751731711.593518,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
1751746949.83282,openedApp,Europe/Luxembourg,instagram,breathingExercise,3,False
