timezone,app,isReIntervention,interventionType,resolution,timestamp,purpose,interventionDuration,timeIntervalUntilReIntervention
America/Los_Angeles,safari,False,journaling,dismissedAppOpening,1753247899.3065681,,,
America/Los_Angeles,safari,False,journaling,dismissedAppOpening,1753280345.5064402,,,
America/Los_Angeles,safari,False,journaling,dismissedAppOpening,1753289786.665485,,,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753384467.860141,Message,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753384535.735653,Message,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753406950.747644,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753476041.1281362,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753476375.18307,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753478884.563367,Toilet,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753479641.38044,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753489981.801978,Bored,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753490269.042952,,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753490479.338932,,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753495759.746042,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753499929.7813401,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753550125.415457,Toilet,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753590472.8801742,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753627299.7345881,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753634826.129527,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753642214.587325,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753817576.740829,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753817618.890079,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753817808.2858272,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753818414.32312,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753819835.407737,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753822024.436929,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753823592.180338,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753824808.391539,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753824934.816012,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753827322.6587281,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753827539.4698,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753853969.219544,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,dismissedAppOpening,1753855235.268467,,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753907720.691931,Bored,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753908679.6106582,Bored,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753910274.04228,Bored,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753910948.9887671,Bored,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753912116.641519,Toilet,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753918580.631606,Toilet,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753918607.686419,Toilet,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753995795.971889,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753995844.431252,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753996058.4886189,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753996131.704599,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753996513.904108,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753998504.935894,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1753998715.904254,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754000880.178506,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754001151.332088,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754001292.3585792,Escape / Avoid,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754006720.488326,Search Info,3.0,
America/Los_Angeles,safari,False,breathingExercise,openedApp,1754009443.442486,Escape / Avoid,3.0,
