Outcome,Predictor,Rate Ratio,95% CI,p
Dismissed openings (Week 6),(Intercept),0.219,"[0.197, 0.244]",< .001
Dismissed openings (Week 6),ABC vs. CCC,1.104,"[0.972, 1.253]",0.127
Dismissed openings (Week 6),ACC vs. CCC,1.099,"[0.968, 1.248]",0.146
Dismissed openings (Week 6),BCC vs. CCC,1.003,"[0.88, 1.144]",0.96
Dismissed openings (Week 6),dismissed_w1,1.006,"[1.005, 1.008]",< .001
Dismissed openings (Week 6),attempted_w1,0.998,"[0.998, 0.999]",< .001
Initial attempts (Week 6),(Intercept),33.045,"[28.406, 38.57]",< .001
Initial attempts (Week 6),ABC vs. CCC,1.02,"[0.855, 1.216]",0.828
Initial attempts (Week 6),ACC vs. CCC,0.83,"[0.697, 0.988]",0.036
Initial attempts (Week 6),BCC vs. CCC,1.019,"[0.85, 1.222]",0.841
Initial attempts (Week 6),attempted_w1,1.005,"[1.005, 1.006]",< .001
