Question,Response,Overall (n = 199),Retained (n = 109),Dropped out (n = 90)
Would set own delay duration,Yes,123 (61.8%),70 (64.2%),53 (58.9%)
,No,76 (38.2%),39 (35.8%),37 (41.1%)
Preferred own duration (median),—,15 s,15 s,20 s
Would prefer increasing delay,Yes,163 (81.9%),90 (82.6%),73 (81.1%)
,No,36 (18.1%),19 (17.4%),17 (18.9%)
Preferred escalating pattern,Option 1 (3 → 6 → 10 s),76 (46.6%),43 (47.8%),33 (45.2%)
,Option 2 (3 → 10 → 10 s),11 (6.7%),7 (7.8%),4 (5.5%)
,Option 3 (6 → 10 → 10 s),61 (37.4%),30 (33.3%),31 (42.5%)
,Other,15 (9.2%),10 (11.1%),5 (6.8%)
