condition,study_week,n_attempted,n_dismissed,pct_dismissed
ABC,1,8781,2644,30.1
ABC,2,8016,1591,19.8
ABC,3,7374,1586,21.5
ABC,4,7097,1563,22
ABC,5,6748,1647,24.4
ABC,6,5248,1352,25.8
ACC,1,8800,2559,29.1
ACC,2,7513,1426,19
ACC,3,6023,1532,25.4
ACC,4,5764,1323,23
ACC,5,6284,1363,21.7
ACC,6,4500,950,21.1
BCC,1,6636,2430,36.6
BCC,2,5649,1417,25.1
BCC,3,5500,1508,27.4
BCC,4,4618,1234,26.7
BCC,5,4951,1299,26.2
BCC,6,3869,1054,27.2
CCC,1,8557,3382,39.5
CCC,2,6762,2145,31.7
CCC,3,6535,1916,29.3
CCC,4,7059,2106,29.8
CCC,5,6921,1880,27.2
CCC,6,5098,1498,29.4
