item,label,term,B_CI,p
solved_problems,Have you been able to solve your consumption problems?,(Intercept),"4.56 [4.2, 4.92]",< .001
solved_problems,Have you been able to solve your consumption problems?,conditionABC,"-0.04 [-0.57, 0.49]",0.881
solved_problems,Have you been able to solve your consumption problems?,conditionACC,"-0.26 [-0.79, 0.27]",0.339
solved_problems,Have you been able to solve your consumption problems?,conditionBCC,"-0.24 [-0.77, 0.28]",0.357
achieved_goals,Have you been able to achieve your consumption goals?,(Intercept),"4.66 [4.26, 5.06]",< .001
achieved_goals,Have you been able to achieve your consumption goals?,conditionABC,"-0.06 [-0.65, 0.52]",0.827
achieved_goals,Have you been able to achieve your consumption goals?,conditionACC,"-0.22 [-0.81, 0.37]",0.462
achieved_goals,Have you been able to achieve your consumption goals?,conditionBCC,"-0.46 [-1.04, 0.12]",0.121
helpful_problems,How helpful to solve your consumption problems?,(Intercept),"5.64 [5.36, 5.93]",< .001
helpful_problems,How helpful to solve your consumption problems?,conditionABC,"-0.03 [-0.44, 0.39]",0.892
helpful_problems,How helpful to solve your consumption problems?,conditionACC,"-0.08 [-0.5, 0.33]",0.693
helpful_problems,How helpful to solve your consumption problems?,conditionBCC,"-0.18 [-0.59, 0.23]",0.385
helpful_goals,How helpful to achieve your consumption goals?,(Intercept),"5.36 [5.05, 5.66]",< .001
helpful_goals,How helpful to achieve your consumption goals?,conditionABC,"0.14 [-0.3, 0.59]",0.523
helpful_goals,How helpful to achieve your consumption goals?,conditionACC,"0.02 [-0.42, 0.47]",0.916
helpful_goals,How helpful to achieve your consumption goals?,conditionBCC,"-0.06 [-0.5, 0.38]",0.789
satisfied_interv,How satisfied with one sec's intervention?,(Intercept),"5.42 [5.14, 5.7]",< .001
satisfied_interv,How satisfied with one sec's intervention?,conditionABC,"0.27 [-0.14, 0.68]",0.195
satisfied_interv,How satisfied with one sec's intervention?,conditionACC,"0.12 [-0.3, 0.53]",0.578
satisfied_interv,How satisfied with one sec's intervention?,conditionBCC,"0.13 [-0.27, 0.54]",0.52
satisfied_progr,How satisfied with your progress through one sec?,(Intercept),"5.31 [4.97, 5.64]",< .001
satisfied_progr,How satisfied with your progress through one sec?,conditionABC,"0.06 [-0.43, 0.55]",0.809
satisfied_progr,How satisfied with your progress through one sec?,conditionACC,"-0.25 [-0.74, 0.25]",0.33
satisfied_progr,How satisfied with your progress through one sec?,conditionBCC,"-0.25 [-0.73, 0.24]",0.312
